 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.49942837152E+07    2.13505989568E+07
  21.00   24.00    8.31883854894E+06    1.12803100215E+07
  24.00   28.00    4.56598297812E+06    6.07813277777E+06
  28.00   32.00    2.45819948984E+06    3.22624399317E+06
  32.00   37.00    1.33880703650E+06    1.72350477159E+06
  37.00   43.00    6.93494788891E+05    8.82890529888E+05
  43.00   49.00    3.65243073424E+05    4.54172022577E+05
  49.00   56.00    1.98324151243E+05    2.44485429546E+05
  56.00   64.00    1.05889639071E+05    1.29691222573E+05
  64.00   74.00    5.44798443230E+04    6.55223019538E+04
  74.00   84.00    2.80648837075E+04    3.33733370865E+04
  84.00   97.00    1.44276916059E+04    1.70590003584E+04
  97.00   114.0    6.72489745455E+03    7.86322571061E+03
  114.0   133.0    2.99711543145E+03    3.47345442661E+03
  133.0   153.0    1.38932584269E+03    1.60170867695E+03
  153.0   174.0    6.80391279651E+02    7.78404718852E+02
  174.0   196.0    3.48694007731E+02    3.97569002032E+02
  196.0   220.0    1.83493523189E+02    2.08441979730E+02
  220.0   245.0    9.86182518491E+01    1.11714239278E+02
  245.0   272.0    5.42020380293E+01    6.13031977423E+01
  272.0   300.0    3.03323877012E+01    3.42040347023E+01
  300.0   330.0    1.72959517531E+01    1.94411586675E+01
  330.0   362.0    9.93620478585E+00    1.11711735815E+01
  362.0   395.0    5.79495011061E+00    6.51058933559E+00
  395.0   430.0    3.43238001161E+00    3.85299195456E+00
  430.0   468.0    2.03250302205E+00    2.28066446689E+00
  468.0   507.0    1.21045817350E+00    1.35932536640E+00
  507.0   548.0    7.30803546284E-01    8.22385969148E-01
  548.0   592.0    4.41340591967E-01    4.96404025721E-01
  592.0   638.0    2.66455861929E-01    3.00084597980E-01
  638.0   686.0    1.61812712002E-01    1.82304528612E-01
  686.0   737.0    9.83331483985E-02    1.11135573889E-01
  737.0   790.0    5.97242774254E-02    6.75072868416E-02
  790.0   846.0    3.62701484612E-02    4.11098321376E-02
  846.0   905.0    2.19139637577E-02    2.48795309276E-02
  905.0   967.0    1.31691145008E-02    1.49973718613E-02
  967.0   1032.    7.86881654289E-03    8.97923096080E-03
  1032.   1101.    4.65513827816E-03    5.33073334257E-03
  1101.   1172.    2.73153556379E-03    3.13715810874E-03
  1172.   1248.    1.58625935354E-03    1.82662097502E-03
  1248.   1327.    9.04902252577E-04    1.04596683550E-03
  1327.   1410.    5.09207423965E-04    5.90907262563E-04
  1410.   1497.    2.81005018963E-04    3.27726575963E-04
  1497.   1588.    1.51823106536E-04    1.77657986172E-04
  1588.   1784.    5.99554837415E-05    7.05923453846E-05
  1784.   2116.    1.11027972434E-05    1.32354500420E-05
  2116.   2500.    9.42851150331E-07    1.14625259471E-06
  2500.   3000.    4.06747280065E-08    5.06741027669E-08
