 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.80682629704E+07    2.17544303387E+07
  21.00   24.00    9.72893587367E+06    1.13821337911E+07
  24.00   28.00    5.20815920333E+06    6.11004286012E+06
  28.00   32.00    2.74248987424E+06    3.24041620249E+06
  32.00   37.00    1.46668272313E+06    1.72948091158E+06
  37.00   43.00    7.46985704417E+05    8.86380879167E+05
  43.00   49.00    3.87783017264E+05    4.56183627269E+05
  49.00   56.00    2.08083937085E+05    2.45966092844E+05
  56.00   64.00    1.09895730799E+05    1.30658985778E+05
  64.00   74.00    5.59574064533E+04    6.61140470388E+04
  74.00   84.00    2.85532989572E+04    3.37332221639E+04
  84.00   97.00    1.45516785493E+04    1.72650377696E+04
  97.00   114.0    6.71922448924E+03    7.96865067978E+03
  114.0   133.0    2.96632870789E+03    3.52314763392E+03
  133.0   153.0    1.36312331180E+03    1.62498837134E+03
  153.0   174.0    6.62289681723E+02    7.89578873106E+02
  174.0   196.0    3.36955244086E+02    4.03017229118E+02
  196.0   220.0    1.76098419119E+02    2.11089534415E+02
  220.0   245.0    9.40177433784E+01    1.12989299955E+02
  245.0   272.0    5.13460692439E+01    6.19054827296E+01
  272.0   300.0    2.85584495152E+01    3.44835154040E+01
  300.0   330.0    1.61884929949E+01    1.95670465927E+01
  330.0   362.0    9.24594939963E+00    1.12195237460E+01
  362.0   395.0    5.36166071650E+00    6.52443379062E+00
  395.0   430.0    3.15801429515E+00    3.85279448914E+00
  430.0   468.0    1.85942918031E+00    2.27497018734E+00
  468.0   507.0    1.10099890051E+00    1.35222528454E+00
  507.0   548.0    6.60857487165E-01    8.15548824806E-01
  548.0   592.0    3.96675764764E-01    4.90740617638E-01
  592.0   638.0    2.37949218777E-01    2.95591702579E-01
  638.0   686.0    1.43519773550E-01    1.78862768246E-01
  686.0   737.0    8.65825585643E-02    1.08527697499E-01
  737.0   790.0    5.21755418947E-02    6.55990079372E-02
  790.0   846.0    3.14192754588E-02    3.97219070458E-02
  846.0   905.0    1.88075748678E-02    2.38888913596E-02
  905.0   967.0    1.11873963912E-02    1.42950377247E-02
  967.0   1032.    6.60969296795E-03    8.48953088798E-03
  1032.   1101.    3.86159658558E-03    4.99342174551E-03
  1101.   1172.    2.23475898303E-03    2.90823614034E-03
  1172.   1248.    1.27806569134E-03    1.67371980754E-03
  1248.   1327.    7.16686869940E-04    9.45814183334E-04
  1327.   1410.    3.95830813094E-04    5.26536634730E-04
  1410.   1497.    2.13981666741E-04    2.87248607257E-04
  1497.   1588.    1.12962346754E-04    1.52835245234E-04
  1588.   1784.    4.30084358026E-05    5.89156662128E-05
  1784.   2116.    7.37861380206E-06    1.03408001069E-05
  2116.   2500.    5.46113944236E-07    7.90003572220E-07
  2500.   3000.    1.93112807591E-08    2.88657707527E-08
