 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.91616065120E+07    2.30200681668E+07
  21.00   24.00    1.05862141714E+07    1.19679284854E+07
  24.00   28.00    5.79066029111E+06    6.42673734256E+06
  28.00   32.00    3.11372104579E+06    3.40693753686E+06
  32.00   37.00    1.69695728537E+06    1.81793011235E+06
  37.00   43.00    8.79939456971E+05    9.33036603211E+05
  43.00   49.00    4.64076779543E+05    4.78647332333E+05
  49.00   56.00    2.52419868453E+05    2.58331521164E+05
  56.00   64.00    1.34940081942E+05    1.37448436843E+05
  64.00   74.00    6.95439660963E+04    6.93524080275E+04
  74.00   84.00    3.58949100803E+04    3.53888473613E+04
  84.00   97.00    1.84854516811E+04    1.81471058746E+04
  97.00   114.0    8.63105946834E+03    8.37999699974E+03
  114.0   133.0    3.84910878332E+03    3.70728543363E+03
  133.0   153.0    1.78221394584E+03    1.71074202529E+03
  153.0   174.0    8.71739336196E+02    8.30919838772E+02
  174.0   196.0    4.46153646057E+02    4.24580339402E+02
  196.0   220.0    2.34443823575E+02    2.22612311661E+02
  220.0   245.0    1.25724214639E+02    1.19251172956E+02
  245.0   272.0    6.88361733227E+01    6.53216785334E+01
  272.0   300.0    3.83471327479E+01    3.63289742360E+01
  300.0   330.0    2.17647229447E+01    2.05824651924E+01
  330.0   362.0    1.24476907658E+01    1.17999566132E+01
  362.0   395.0    7.22610723417E+00    6.85721562501E+00
  395.0   430.0    4.25869754479E+00    4.04509852133E+00
  430.0   468.0    2.50547855076E+00    2.38331976915E+00
  468.0   507.0    1.48111480756E+00    1.41335560220E+00
  507.0   548.0    8.87660228483E-01    8.50813164297E-01
  548.0   592.0    5.32040889813E-01    5.10604973493E-01
  592.0   638.0    3.18491091739E-01    3.06754563032E-01
  638.0   686.0    1.91570765298E-01    1.84948863362E-01
  686.0   737.0    1.15234615842E-01    1.11913796192E-01
  737.0   790.0    6.91838162325E-02    6.73358464254E-02
  790.0   846.0    4.15056002174E-02    4.06221803804E-02
  846.0   905.0    2.47436240910E-02    2.43184665391E-02
  905.0   967.0    1.46474836491E-02    1.44824911400E-02
  967.0   1032.    8.61277564692E-03    8.55676632518E-03
  1032.   1101.    5.00481135028E-03    5.00613828313E-03
  1101.   1172.    2.88032937618E-03    2.89855384388E-03
  1172.   1248.    1.63763204603E-03    1.65772176448E-03
  1248.   1327.    9.12704337106E-04    9.30780509787E-04
  1327.   1410.    5.00724379401E-04    5.14554795272E-04
  1410.   1497.    2.68664282518E-04    2.78629431861E-04
  1497.   1588.    1.40723068046E-04    1.46984056840E-04
  1588.   1784.    5.29318027371E-05    5.59510283115E-05
  1784.   2116.    8.85241112136E-06    9.57438550657E-06
  2116.   2500.    6.08487853710E-07    6.82323053503E-07
  2500.   3000.    1.73009988724E-08    2.03322297336E-08
