 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.53239907957E+07    2.36229231118E+07
  21.00   24.00    1.34977037987E+07    1.21739977888E+07
  24.00   28.00    7.15771295715E+06    6.54382695240E+06
  28.00   32.00    3.73406222736E+06    3.48118412736E+06
  32.00   37.00    1.97990930257E+06    1.85441679222E+06
  37.00   43.00    9.99382272846E+05    9.51756224772E+05
  43.00   49.00    5.14381641847E+05    4.87212231853E+05
  49.00   56.00    2.73836307503E+05    2.62783360793E+05
  56.00   64.00    1.43455223008E+05    1.39543505271E+05
  64.00   74.00    7.24251715039E+04    7.02601627939E+04
  74.00   84.00    3.66368757408E+04    3.57299327865E+04
  84.00   97.00    1.85101258350E+04    1.82439296256E+04
  97.00   114.0    8.46089973877E+03    8.37831384208E+03
  114.0   133.0    3.69400044217E+03    3.68453997590E+03
  133.0   153.0    1.67922906580E+03    1.69075298605E+03
  153.0   174.0    8.07548137768E+02    8.16393896170E+02
  174.0   196.0    4.06875338127E+02    4.14492470453E+02
  196.0   220.0    2.10645200475E+02    2.15867588724E+02
  220.0   245.0    1.11436336916E+02    1.14899277884E+02
  245.0   272.0    6.03265060111E+01    6.26126695481E+01
  272.0   300.0    3.32707204509E+01    3.46795234883E+01
  300.0   330.0    1.87091498534E+01    1.95672507028E+01
  330.0   362.0    1.06039202529E+01    1.11666787849E+01
  362.0   395.0    6.10511306150E+00    6.46369889540E+00
  395.0   430.0    3.57220112090E+00    3.80032892206E+00
  430.0   468.0    2.09038099997E+00    2.23523287617E+00
  468.0   507.0    1.23082871747E+00    1.32419319825E+00
  507.0   548.0    7.35186675038E-01    7.96752740590E-01
  548.0   592.0    4.39432867953E-01    4.78243862335E-01
  592.0   638.0    2.62671183240E-01    2.87642565455E-01
  638.0   686.0    1.58005148288E-01    1.73896047813E-01
  686.0   737.0    9.51458635693E-02    1.05553133888E-01
  737.0   790.0    5.72800902341E-02    6.38335492371E-02
  790.0   846.0    3.44898389289E-02    3.87255460716E-02
  846.0   905.0    2.06642361199E-02    2.33504213475E-02
  905.0   967.0    1.23158581557E-02    1.40268859439E-02
  967.0   1032.    7.29888892524E-03    8.36969565705E-03
  1032.   1101.    4.28259489823E-03    4.95309977522E-03
  1101.   1172.    2.49218502436E-03    2.90564066463E-03
  1172.   1248.    1.43511284778E-03    1.68646071542E-03
  1248.   1327.    8.11508361906E-04    9.62592076047E-04
  1327.   1410.    4.52466952674E-04    5.41909426462E-04
  1410.   1497.    2.47240109788E-04    2.99402568535E-04
  1497.   1588.    1.32143018636E-04    1.61527816470E-04
  1588.   1784.    5.12991041649E-05    6.36418409788E-05
  1784.   2116.    9.14508003442E-06    1.16582774349E-05
  2116.   2500.    7.13420273699E-07    9.46315879185E-07
  2500.   3000.    2.64246011725E-08    3.65196464867E-08
