 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.33427228930E+07    1.93029391637E+07
  21.00   24.00    7.48089814220E+06    1.03043518009E+07
  24.00   28.00    4.15221178750E+06    5.61227785926E+06
  28.00   32.00    2.26236664532E+06    3.01005092036E+06
  32.00   37.00    1.24660268979E+06    1.62535699717E+06
  37.00   43.00    6.53815684678E+05    8.42013260412E+05
  43.00   49.00    3.48451711373E+05    4.37762739032E+05
  49.00   56.00    1.91253194095E+05    2.37911834691E+05
  56.00   64.00    1.03198342069E+05    1.27412643118E+05
  64.00   74.00    5.36551797440E+04    6.49660065006E+04
  74.00   84.00    2.79153735523E+04    3.33885419340E+04
  84.00   97.00    1.44819347686E+04    1.72035059348E+04
  97.00   114.0    6.81482319993E+03    7.99726404560E+03
  114.0   133.0    3.06507365782E+03    3.56097605564E+03
  133.0   153.0    1.43180826648E+03    1.65318322381E+03
  153.0   174.0    7.05585495867E+02    8.07757628895E+02
  174.0   196.0    3.63432831942E+02    4.14356684437E+02
  196.0   220.0    1.92038474956E+02    2.17996343465E+02
  220.0   245.0    1.03555501294E+02    1.17157577332E+02
  245.0   272.0    5.70629392551E+01    6.44270259760E+01
  272.0   300.0    3.19956248669E+01    3.59992360134E+01
  300.0   330.0    1.82690248503E+01    2.04827473596E+01
  330.0   362.0    1.05038900789E+01    1.17755653609E+01
  362.0   395.0    6.12809367161E+00    6.86303577234E+00
  395.0   430.0    3.62924339663E+00    4.06023935964E+00
  430.0   468.0    2.14784360004E+00    2.40155747292E+00
  468.0   507.0    1.27788324686E+00    1.42982984156E+00
  507.0   548.0    7.70450815169E-01    8.63736945931E-01
  548.0   592.0    4.64454387448E-01    5.20435201792E-01
  592.0   638.0    2.79797961322E-01    3.13928039815E-01
  638.0   686.0    1.69479415413E-01    1.90231101621E-01
  686.0   737.0    1.02687438494E-01    1.15637614571E-01
  737.0   790.0    6.21595335225E-02    7.00176340237E-02
  790.0   846.0    3.76077369311E-02    4.24873608608E-02
  846.0   905.0    2.26271959086E-02    2.56118493295E-02
  905.0   967.0    1.35352397307E-02    1.53721387192E-02
  967.0   1032.    8.04696084840E-03    9.15997271489E-03
  1032.   1101.    4.73447423356E-03    5.41045552973E-03
  1101.   1172.    2.76167163823E-03    3.16639448975E-03
  1172.   1248.    1.59358522284E-03    1.83278024205E-03
  1248.   1327.    9.02821316147E-04    1.04272038785E-03
  1327.   1410.    5.04284125400E-04    5.85010972012E-04
  1410.   1497.    2.76062782265E-04    3.22008428667E-04
  1497.   1588.    1.47857607144E-04    1.73127717030E-04
  1588.   1784.    5.76140801613E-05    6.79183935154E-05
  1784.   2116.    1.03759866442E-05    1.23923226862E-05
  2116.   2500.    8.31175088326E-07    1.01203109063E-06
  2500.   3000.    3.17692993986E-08    3.95604935198E-08
