 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.72220925563E+07    2.22274664689E+07
  21.00   24.00    9.08238690154E+06    1.15821238063E+07
  24.00   28.00    4.76935623431E+06    6.14864918871E+06
  28.00   32.00    2.46479091180E+06    3.22693065813E+06
  32.00   37.00    1.29609202792E+06    1.70691884350E+06
  37.00   43.00    6.49040254252E+05    8.65381283103E+05
  43.00   49.00    3.31784290831E+05    4.42336115459E+05
  49.00   56.00    1.75651340469E+05    2.36415499029E+05
  56.00   64.00    9.15810812149E+04    1.24442813106E+05
  64.00   74.00    4.60514832768E+04    6.26008738846E+04
  74.00   84.00    2.32242432483E+04    3.17133742844E+04
  84.00   97.00    1.17096474503E+04    1.61094783651E+04
  97.00   114.0    5.34619112671E+03    7.38461248070E+03
  114.0   133.0    2.33407637956E+03    3.24138244247E+03
  133.0   153.0    1.06213335686E+03    1.48450742360E+03
  153.0   174.0    5.11724319027E+02    7.17424698722E+02
  174.0   196.0    2.58440941440E+02    3.64169231435E+02
  196.0   220.0    1.34167510288E+02    1.89805331471E+02
  220.0   245.0    7.11924923047E+01    1.01120454523E+02
  245.0   272.0    3.86627209191E+01    5.51491788772E+01
  272.0   300.0    2.13919122409E+01    3.06013406661E+01
  300.0   330.0    1.20676478130E+01    1.73015964891E+01
  330.0   362.0    6.86118597948E+00    9.88038604814E+00
  362.0   395.0    3.96211912496E+00    5.72554736683E+00
  395.0   430.0    2.32479649656E+00    3.37040129426E+00
  430.0   468.0    1.36400391630E+00    1.98426566899E+00
  468.0   507.0    8.05061544169E-01    1.17596337793E+00
  507.0   548.0    4.81883151437E-01    7.07342552404E-01
  548.0   592.0    2.88557924302E-01    4.24851342121E-01
  592.0   638.0    1.72753025436E-01    2.55465215939E-01
  638.0   686.0    1.04041929515E-01    1.54429466080E-01
  686.0   737.0    6.27049254347E-02    9.36045480149E-02
  737.0   790.0    3.77681624817E-02    5.65795562844E-02
  790.0   846.0    2.27427037641E-02    3.42641143757E-02
  846.0   905.0    1.36204750356E-02    2.06243505970E-02
  905.0   967.0    8.11013953086E-03    1.23556665356E-02
  967.0   1032.    4.79890688750E-03    7.35201947659E-03
  1032.   1101.    2.80928396510E-03    4.33336417033E-03
  1101.   1172.    1.62978501136E-03    2.53086227512E-03
  1172.   1248.    9.34712082411E-04    1.46122020809E-03
  1248.   1327.    5.25788972710E-04    8.28521902121E-04
  1327.   1410.    2.91252386688E-04    4.62737325502E-04
  1410.   1497.    1.57860405539E-04    2.53185832414E-04
  1497.   1588.    8.35350847317E-05    1.35118017031E-04
  1588.   1784.    3.18825182067E-05    5.22589707483E-05
  1784.   2116.    5.46333270703E-06    9.18079502459E-06
  2116.   2500.    3.89392477864E-07    6.80502604472E-07
  2500.   3000.    1.16585228105E-08    2.14024490707E-08
