 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.76342415238E+07    2.12050125444E+07
  21.00   24.00    9.52608746597E+06    1.11258987357E+07
  24.00   28.00    5.11624920498E+06    5.99466681557E+06
  28.00   32.00    2.70444429138E+06    3.18977454026E+06
  32.00   37.00    1.45235106720E+06    1.71009092537E+06
  37.00   43.00    7.43111496228E+05    8.80309907421E+05
  43.00   49.00    3.87606588893E+05    4.55139206382E+05
  49.00   56.00    2.08967351864E+05    2.46578103691E+05
  56.00   64.00    1.10917801447E+05    1.31658322181E+05
  64.00   74.00    5.67911389782E+04    6.69721490746E+04
  74.00   84.00    2.91473873250E+04    3.43745442010E+04
  84.00   97.00    1.49406088584E+04    1.76942727985E+04
  97.00   114.0    6.94384502795E+03    8.22058772428E+03
  114.0   133.0    3.08559320998E+03    3.65837963609E+03
  133.0   153.0    1.42579107553E+03    1.69692204144E+03
  153.0   174.0    6.96112011334E+02    8.28619965161E+02
  174.0   196.0    3.55544779603E+02    4.24660106033E+02
  196.0   220.0    1.86284298726E+02    2.23023165815E+02
  220.0   245.0    9.96249165450E+01    1.19604656427E+02
  245.0   272.0    5.44274476611E+01    6.55702468652E+01
  272.0   300.0    3.02368052912E+01    3.64917464761E+01
  300.0   330.0    1.71247082220E+01    2.06952521542E+01
  330.0   362.0    9.76939885152E+00    1.18556776954E+01
  362.0   395.0    5.65354730011E+00    6.88245751147E+00
  395.0   430.0    3.31953036721E+00    4.05318105450E+00
  430.0   468.0    1.94454870449E+00    2.38183149252E+00
  468.0   507.0    1.14431647097E+00    1.40759838380E+00
  507.0   548.0    6.83360322593E-01    8.44952634146E-01
  548.0   592.0    4.07620822876E-01    5.05470836110E-01
  592.0   638.0    2.42792612335E-01    3.02455569866E-01
  638.0   686.0    1.45274222334E-01    1.81628527836E-01
  686.0   737.0    8.68694688015E-02    1.09273609569E-01
  737.0   790.0    5.18865201889E-02    6.54935188435E-02
  790.0   846.0    3.09524432536E-02    3.93025934650E-02
  846.0   905.0    1.83425928101E-02    2.34087278187E-02
  905.0   967.0    1.07986743637E-02    1.38678058585E-02
  967.0   1032.    6.31146106846E-03    8.15021926926E-03
  1032.   1101.    3.64703544319E-03    4.74266382834E-03
  1101.   1172.    2.08725347123E-03    2.73205139066E-03
  1172.   1248.    1.18038202097E-03    1.55507117090E-03
  1248.   1327.    6.54463393154E-04    8.68941728031E-04
  1327.   1410.    3.57315238590E-04    4.78205997978E-04
  1410.   1497.    1.90889829480E-04    2.57870630665E-04
  1497.   1588.    9.95986117892E-05    1.35599048168E-04
  1588.   1784.    3.73271950103E-05    5.14678018026E-05
  1784.   2116.    6.22905530548E-06    8.79937331478E-06
  2116.   2500.    4.31144785051E-07    6.34197344277E-07
  2500.   3000.    1.22560790027E-08    1.91990267130E-08
