 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.93110466449E+07    2.32431501765E+07
  21.00   24.00    1.06575446383E+07    1.20678747706E+07
  24.00   28.00    5.83064970308E+06    6.47420236299E+06
  28.00   32.00    3.13295726845E+06    3.42984555252E+06
  32.00   37.00    1.70481151599E+06    1.82528574346E+06
  37.00   43.00    8.82769370154E+05    9.35291069042E+05
  43.00   49.00    4.64854366030E+05    4.78679712754E+05
  49.00   56.00    2.52358846051E+05    2.57801982393E+05
  56.00   64.00    1.34666478140E+05    1.36833920204E+05
  64.00   74.00    6.92048839992E+04    6.88686795363E+04
  74.00   84.00    3.55806154972E+04    3.50008680989E+04
  84.00   97.00    1.82402585986E+04    1.78676006766E+04
  97.00   114.0    8.46433105620E+03    8.20141147494E+03
  114.0   133.0    3.74892655218E+03    3.60567123243E+03
  133.0   153.0    1.72514210152E+03    1.65460903708E+03
  153.0   174.0    8.38165459872E+02    7.98911756302E+02
  174.0   196.0    4.25999709102E+02    4.05742235127E+02
  196.0   220.0    2.22252948091E+02    2.11415982894E+02
  220.0   245.0    1.18405408060E+02    1.12614450663E+02
  245.0   272.0    6.45128544980E+01    6.14341267098E+01
  272.0   300.0    3.57951094262E+01    3.40654268151E+01
  300.0   330.0    2.02443699411E+01    1.92443424891E+01
  330.0   362.0    1.15388044477E+01    1.10047595064E+01
  362.0   395.0    6.68028370706E+00    6.38367681724E+00
  395.0   430.0    3.93023589569E+00    3.76178453460E+00
  430.0   468.0    2.31290877649E+00    2.21836508094E+00
  468.0   507.0    1.36973545886E+00    1.31832493640E+00
  507.0   548.0    8.22918032907E-01    7.96001890793E-01
  548.0   592.0    4.94827374299E-01    4.79366910867E-01
  592.0   638.0    2.97620742214E-01    2.89391930539E-01
  638.0   686.0    1.80155552419E-01    1.75602006428E-01
  686.0   737.0    1.09175767916E-01    1.07031768612E-01
  737.0   790.0    6.61479032863E-02    6.49668379532E-02
  790.0   846.0    4.00825902348E-02    3.95681505811E-02
  846.0   905.0    2.41659042568E-02    2.39419644280E-02
  905.0   967.0    1.44906626469E-02    1.44326172432E-02
  967.0   1032.    8.63822496669E-03    8.63876054298E-03
  1032.   1101.    5.09644562183E-03    5.12633768329E-03
  1101.   1172.    2.98055406640E-03    3.01352882251E-03
  1172.   1248.    1.72362471088E-03    1.75109522556E-03
  1248.   1327.    9.77946577002E-04    9.99979549340E-04
  1327.   1410.    5.46515844473E-04    5.62579647018E-04
  1410.   1497.    2.98920741826E-04    3.10292157955E-04
  1497.   1588.    1.59677659341E-04    1.66817642920E-04
  1588.   1784.    6.18294499699E-05    6.53235076326E-05
  1784.   2116.    1.08978383098E-05    1.17749241637E-05
  2116.   2500.    8.30079147871E-07    9.28338301193E-07
  2500.   3000.    3.05959954863E-08    3.53705209385E-08
