 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.66568299789E+07    2.13248839011E+07
  21.00   24.00    8.83397039066E+06    1.11770014343E+07
  24.00   28.00    4.66498893177E+06    5.97263384553E+06
  28.00   32.00    2.42470520968E+06    3.15450323263E+06
  32.00   37.00    1.28190457533E+06    1.67878561977E+06
  37.00   43.00    6.45517340484E+05    8.56547881228E+05
  43.00   49.00    3.31681216058E+05    4.40330644742E+05
  49.00   56.00    1.76388844279E+05    2.36555333240E+05
  56.00   64.00    9.23566857012E+04    1.25125926473E+05
  64.00   74.00    4.66273014812E+04    6.32337716747E+04
  74.00   84.00    2.35976639906E+04    3.21647324166E+04
  84.00   97.00    1.19331938438E+04    1.63954470676E+04
  97.00   114.0    5.46318653367E+03    7.54007035896E+03
  114.0   133.0    2.39037316509E+03    3.31842288878E+03
  133.0   153.0    1.08927734922E+03    1.52250175216E+03
  153.0   174.0    5.25186864760E+02    7.36545122018E+02
  174.0   196.0    2.65308866732E+02    3.74057322058E+02
  196.0   220.0    1.37720389697E+02    1.94976979458E+02
  220.0   245.0    7.30506441270E+01    1.03853157062E+02
  245.0   272.0    3.96485235576E+01    5.66122251999E+01
  272.0   300.0    2.19210372887E+01    3.13923485545E+01
  300.0   330.0    1.23554379099E+01    1.77348874513E+01
  330.0   362.0    7.01789511071E+00    1.01183283862E+01
  362.0   395.0    4.04823066948E+00    5.85743849175E+00
  395.0   430.0    2.37253041298E+00    3.44423341942E+00
  430.0   468.0    1.39017729583E+00    2.02511358716E+00
  468.0   507.0    8.19305306011E-01    1.19849869113E+00
  507.0   548.0    4.89609835395E-01    7.19757365458E-01
  548.0   592.0    2.92639462174E-01    4.31522759816E-01
  592.0   638.0    1.74822060738E-01    2.58942498468E-01
  638.0   686.0    1.05025316891E-01    1.56151873418E-01
  686.0   737.0    6.31124159580E-02    9.43787397547E-02
  737.0   790.0    3.78821617019E-02    5.68566676583E-02
  790.0   846.0    2.27193016623E-02    3.42969230112E-02
  846.0   905.0    1.35421349358E-02    2.05492343104E-02
  905.0   967.0    8.01997392797E-03    1.22454071661E-02
  967.0   1032.    4.71620652828E-03    7.24247416010E-03
  1032.   1101.    2.74128305486E-03    4.23915573636E-03
  1101.   1172.    1.57795976140E-03    2.45677444046E-03
  1172.   1248.    8.97201541049E-04    1.40635573707E-03
  1248.   1327.    4.99763413013E-04    7.89696757104E-04
  1327.   1410.    2.73854634130E-04    4.36288335470E-04
  1410.   1497.    1.46664223594E-04    2.35862248188E-04
  1497.   1588.    7.65768631415E-05    1.24168513167E-04
  1588.   1784.    2.86577192726E-05    4.70606849005E-05
  1784.   2116.    4.74490680707E-06    7.96994729281E-06
  2116.   2500.    3.21249319172E-07    5.58028250934E-07
  2500.   3000.    9.14184102908E-09    1.65673447922E-08
