 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.47213982375E+07    2.11515790931E+07
  21.00   24.00    8.22972634989E+06    1.12503573120E+07
  24.00   28.00    4.54753396666E+06    6.10012368158E+06
  28.00   32.00    2.46689521433E+06    3.25831339754E+06
  32.00   37.00    1.35401673942E+06    1.75212272561E+06
  37.00   43.00    7.06483937063E+05    9.02934171737E+05
  43.00   49.00    3.74355101363E+05    4.66686306777E+05
  49.00   56.00    2.04285171906E+05    2.52214532745E+05
  56.00   64.00    1.09455957170E+05    1.34117878908E+05
  64.00   74.00    5.64789495496E+04    6.78877468140E+04
  74.00   84.00    2.91570486890E+04    3.46232042339E+04
  84.00   97.00    1.50050497356E+04    1.77011783997E+04
  97.00   114.0    6.99359653510E+03    8.15334774604E+03
  114.0   133.0    3.10961570223E+03    3.59117886057E+03
  133.0   153.0    1.43442657780E+03    1.64721686085E+03
  153.0   174.0    6.98812719171E+02    7.96150701282E+02
  174.0   196.0    3.56183494450E+02    4.04376626108E+02
  196.0   220.0    1.86403631147E+02    2.10839402280E+02
  220.0   245.0    9.95600444950E+01    1.12315523097E+02
  245.0   272.0    5.42933158698E+01    6.11664493103E+01
  272.0   300.0    3.01260885811E+01    3.38476812010E+01
  300.0   330.0    1.70356147408E+01    1.90867141216E+01
  330.0   362.0    9.71012482094E+00    1.08850124257E+01
  362.0   395.0    5.61968914882E+00    6.29749028842E+00
  395.0   430.0    3.30298721115E+00    3.69998422741E+00
  430.0   468.0    1.93821157651E+00    2.17130705314E+00
  468.0   507.0    1.14308967238E+00    1.28239005365E+00
  507.0   548.0    6.83766126756E-01    7.69092131944E-01
  548.0   592.0    4.09197848283E-01    4.60275964336E-01
  592.0   638.0    2.44645898383E-01    2.75718978223E-01
  638.0   686.0    1.47016040121E-01    1.65864455634E-01
  686.0   737.0    8.83866464245E-02    1.00102638460E-01
  737.0   790.0    5.30575531754E-02    6.01445344033E-02
  790.0   846.0    3.18411599131E-02    3.62252010952E-02
  846.0   905.0    1.89957011200E-02    2.16664420253E-02
  905.0   967.0    1.12579583124E-02    1.28922114174E-02
  967.0   1032.    6.63144454764E-03    7.61806596800E-03
  1032.   1101.    3.86212036265E-03    4.45746095966E-03
  1101.   1172.    2.22909764448E-03    2.58326798554E-03
  1172.   1248.    1.27200551339E-03    1.48003723250E-03
  1248.   1327.    7.12131525806E-04    8.32943491979E-04
  1327.   1410.    3.92652532858E-04    4.61747717029E-04
  1410.   1497.    2.11928802969E-04    2.50917144576E-04
  1497.   1588.    1.11773219880E-04    1.32984755601E-04
  1588.   1784.    4.25105239723E-05    5.10206792278E-05
  1784.   2116.    7.26279904784E-06    8.86544286065E-06
  2116.   2500.    5.17132865589E-07    6.48564138719E-07
  2500.   3000.    1.53303943681E-08    1.99297983497E-08
