 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.85143571924E+07    2.22983303692E+07
  21.00   24.00    9.96803531642E+06    1.16670972436E+07
  24.00   28.00    5.33048890081E+06    6.25651392320E+06
  28.00   32.00    2.80177967398E+06    3.31283670617E+06
  32.00   37.00    1.49495204911E+06    1.76406379223E+06
  37.00   43.00    7.59204000346E+05    9.01571281840E+05
  43.00   49.00    3.92936515205E+05    4.62642467182E+05
  49.00   56.00    2.10229310136E+05    2.48708501502E+05
  56.00   64.00    1.10692775574E+05    1.31712354247E+05
  64.00   74.00    5.61898423811E+04    6.64430865889E+04
  74.00   84.00    2.85879280342E+04    3.37994337470E+04
  84.00   97.00    1.45304611032E+04    1.72521959599E+04
  97.00   114.0    6.69126189635E+03    7.94061422508E+03
  114.0   133.0    2.94673152550E+03    3.50186444482E+03
  133.0   153.0    1.35158509643E+03    1.61200610571E+03
  153.0   174.0    6.55830755565E+02    7.82178702934E+02
  174.0   196.0    3.33386004721E+02    3.98855503441E+02
  196.0   220.0    1.74151520282E+02    2.08789917723E+02
  220.0   245.0    9.29649636866E+01    1.11729293716E+02
  245.0   272.0    5.07783988177E+01    6.12168636681E+01
  272.0   300.0    2.82533270032E+01    3.41094530308E+01
  300.0   330.0    1.60249867637E+01    1.93634439980E+01
  330.0   362.0    9.15997275124E+00    1.11106564549E+01
  362.0   395.0    5.31722357526E+00    6.46709022935E+00
  395.0   430.0    3.13565002303E+00    3.82307817040E+00
  430.0   468.0    1.84893322048E+00    2.26049280699E+00
  468.0   507.0    1.09662087170E+00    1.34570386217E+00
  507.0   548.0    6.59475070072E-01    8.13108153879E-01
  548.0   592.0    3.96705579090E-01    4.90296552892E-01
  592.0   638.0    2.38558402943E-01    2.96035267943E-01
  638.0   686.0    1.44288904075E-01    1.79622505129E-01
  686.0   737.0    8.73192888396E-02    1.09325623784E-01
  737.0   790.0    5.28027677649E-02    6.63089432886E-02
  790.0   846.0    3.19173091549E-02    4.03028030833E-02
  846.0   905.0    1.91857605499E-02    2.43396997533E-02
  905.0   967.0    1.14655356027E-02    1.46327196321E-02
  967.0   1032.    6.80886066964E-03    8.73459070333E-03
  1032.   1101.    4.00021367298E-03    5.16616373067E-03
  1101.   1172.    2.32882213464E-03    3.02676407564E-03
  1172.   1248.    1.34029437581E-03    1.75286031258E-03
  1248.   1327.    7.56643154631E-04    9.97137421679E-04
  1327.   1410.    4.20684690257E-04    5.58766314879E-04
  1410.   1497.    2.28926864933E-04    3.06834044687E-04
  1497.   1588.    1.21742494401E-04    1.64434780661E-04
  1588.   1784.    4.68709989393E-05    6.40753864573E-05
  1784.   2116.    8.22291474198E-06    1.14906681365E-05
  2116.   2500.    6.37662186839E-07    9.18070941137E-07
  2500.   3000.    2.52546444376E-08    3.73644247325E-08
