 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.48169133245E+07    2.31578064609E+07
  21.00   24.00    1.32273872933E+07    1.19370798734E+07
  24.00   28.00    7.01142563014E+06    6.41318352411E+06
  28.00   32.00    3.65544304937E+06    3.40868289728E+06
  32.00   37.00    1.93682222210E+06    1.81467246822E+06
  37.00   43.00    9.76936284687E+05    9.30494745993E+05
  43.00   49.00    5.02571460517E+05    4.76075541122E+05
  49.00   56.00    2.67484097992E+05    2.56654112427E+05
  56.00   64.00    1.40139723891E+05    1.36307299277E+05
  64.00   74.00    7.07888466930E+04    6.86449448902E+04
  74.00   84.00    3.58462778041E+04    3.49371135432E+04
  84.00   97.00    1.81388908144E+04    1.78670175390E+04
  97.00   114.0    8.31170860388E+03    8.22389875924E+03
  114.0   133.0    3.64135323231E+03    3.62850836590E+03
  133.0   153.0    1.66193256263E+03    1.67161190154E+03
  153.0   174.0    8.02665897159E+02    8.10568724118E+02
  174.0   196.0    4.06214737892E+02    4.13347296716E+02
  196.0   220.0    2.11264240461E+02    2.16258403944E+02
  220.0   245.0    1.12280229779E+02    1.15645589768E+02
  245.0   272.0    6.10593438862E+01    6.33095697719E+01
  272.0   300.0    3.38233447673E+01    3.52235655833E+01
  300.0   330.0    1.90990309832E+01    1.99589764206E+01
  330.0   362.0    1.08673930669E+01    1.14368078816E+01
  362.0   395.0    6.27921576202E+00    6.64483642388E+00
  395.0   430.0    3.68571151399E+00    3.92004330523E+00
  430.0   468.0    2.16281512720E+00    2.31245220999E+00
  468.0   507.0    1.27646077847E+00    1.37354022885E+00
  507.0   548.0    7.63830468617E-01    8.28133438902E-01
  548.0   592.0    4.57152635510E-01    4.97845847278E-01
  592.0   638.0    2.73480307732E-01    2.99751322595E-01
  638.0   686.0    1.64546329996E-01    1.81307545389E-01
  686.0   737.0    9.90533321897E-02    1.10046754285E-01
  737.0   790.0    5.95805910368E-02    6.65095732270E-02
  790.0   846.0    3.58245859177E-02    4.03032539360E-02
  846.0   905.0    2.14221205000E-02    2.42601332767E-02
  905.0   967.0    1.27359678583E-02    1.45400964423E-02
  967.0   1032.    7.52547371235E-03    8.65241627487E-03
  1032.   1101.    4.40031175565E-03    5.10353213749E-03
  1101.   1172.    2.55077240973E-03    2.98276536845E-03
  1172.   1248.    1.46259454917E-03    1.72391066908E-03
  1248.   1327.    8.23204223510E-04    9.79497393896E-04
  1327.   1410.    4.56724260017E-04    5.48676130115E-04
  1410.   1497.    2.48262983956E-04    3.01559141670E-04
  1497.   1588.    1.31963756579E-04    1.61768388512E-04
  1588.   1784.    5.08308236691E-05    6.32270422406E-05
  1784.   2116.    8.93216207577E-06    1.14100603689E-05
  2116.   2500.    6.78291928102E-07    9.01267561395E-07
  2500.   3000.    2.36087072146E-08    3.27641858225E-08
