 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.55813719349E+07    2.21950049760E+07
  21.00   24.00    8.64132415411E+06    1.17206670130E+07
  24.00   28.00    4.74338224089E+06    6.31607447076E+06
  28.00   32.00    2.55451528394E+06    3.35277761692E+06
  32.00   37.00    1.39182223844E+06    1.79116817703E+06
  37.00   43.00    7.21224603434E+05    9.17479736571E+05
  43.00   49.00    3.79912742856E+05    4.71845092976E+05
  49.00   56.00    2.06280427123E+05    2.53889973995E+05
  56.00   64.00    1.10099398903E+05    1.34583354138E+05
  64.00   74.00    5.66005438440E+04    6.79125213102E+04
  74.00   84.00    2.91197068651E+04    3.45381874737E+04
  84.00   97.00    1.49431866056E+04    1.76165146578E+04
  97.00   114.0    6.94620499678E+03    8.09601351313E+03
  114.0   133.0    3.08430847141E+03    3.56232496329E+03
  133.0   153.0    1.42361851214E+03    1.63544263374E+03
  153.0   174.0    6.93956182894E+02    7.91074038945E+02
  174.0   196.0    3.53911817227E+02    4.02083795829E+02
  196.0   220.0    1.85282787743E+02    2.09740420102E+02
  220.0   245.0    9.90575909746E+01    1.11839399248E+02
  245.0   272.0    5.41505353560E+01    6.10512517560E+01
  272.0   300.0    3.01358331302E+01    3.38803054652E+01
  300.0   330.0    1.70865519973E+01    1.91534373268E+01
  330.0   362.0    9.75825727649E+00    1.09435861684E+01
  362.0   395.0    5.65684189029E+00    6.34135610644E+00
  395.0   430.0    3.32977475936E+00    3.73097100752E+00
  430.0   468.0    1.95869242001E+00    2.19442628935E+00
  468.0   507.0    1.15828390953E+00    1.29933675463E+00
  507.0   548.0    6.94131630168E-01    7.80594901580E-01
  548.0   592.0    4.15946195626E-01    4.67743436064E-01
  592.0   638.0    2.49054075709E-01    2.80603176668E-01
  638.0   686.0    1.49881106965E-01    1.69034656134E-01
  686.0   737.0    9.01787330366E-02    1.02101240248E-01
  737.0   790.0    5.41674981479E-02    6.13920892284E-02
  790.0   846.0    3.24923361124E-02    3.69661543033E-02
  846.0   905.0    1.93600170841E-02    2.20895988267E-02
  905.0   967.0    1.14531274713E-02    1.31260112171E-02
  967.0   1032.    6.72572943413E-03    7.73716498951E-03
  1032.   1101.    3.90792204782E-03    4.52024818002E-03
  1101.   1172.    2.24748304146E-03    2.61277514540E-03
  1172.   1248.    1.27631670571E-03    1.49154141294E-03
  1248.   1327.    7.09938225710E-04    8.35325485769E-04
  1327.   1410.    3.88336272822E-04    4.60254086179E-04
  1410.   1497.    2.07923578781E-04    2.48629582833E-04
  1497.   1588.    1.09271168550E-04    1.31532123677E-04
  1588.   1784.    4.14367485304E-05    5.04468201768E-05
  1784.   2116.    7.12562111184E-06    8.85819667152E-06
  2116.   2500.    5.59553780942E-07    7.12891317409E-07
  2500.   3000.    2.13233355671E-08    2.77995914911E-08
