 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.39519156603E+07    2.01143934237E+07
  21.00   24.00    7.79834876300E+06    1.07094456462E+07
  24.00   28.00    4.31525409413E+06    5.82063983617E+06
  28.00   32.00    2.34571624447E+06    3.11588057075E+06
  32.00   37.00    1.29044884230E+06    1.68109562925E+06
  37.00   43.00    6.76039129125E+05    8.70044904228E+05
  43.00   49.00    3.60144129652E+05    4.52231191035E+05
  49.00   56.00    1.97712625392E+05    2.45840627793E+05
  56.00   64.00    1.06758845386E+05    1.31750432508E+05
  64.00   74.00    5.55782229058E+04    6.72389253378E+04
  74.00   84.00    2.89673246776E+04    3.46116721086E+04
  84.00   97.00    1.50565389513E+04    1.78596390419E+04
  97.00   114.0    7.10010056677E+03    8.31604044133E+03
  114.0   133.0    3.19936476421E+03    3.70744173453E+03
  133.0   153.0    1.49601441386E+03    1.72191539346E+03
  153.0   174.0    7.37794592541E+02    8.41574369059E+02
  174.0   196.0    3.80227284991E+02    4.31779123583E+02
  196.0   220.0    2.00894989035E+02    2.27069382368E+02
  220.0   245.0    1.08262628989E+02    1.21928259998E+02
  245.0   272.0    5.95506600312E+01    6.69198423764E+01
  272.0   300.0    3.32962038112E+01    3.72799112458E+01
  300.0   330.0    1.89685420894E+01    2.11641366467E+01
  330.0   362.0    1.08794962712E+01    1.21372565226E+01
  362.0   395.0    6.32657628639E+00    7.05153494527E+00
  395.0   430.0    3.73093214458E+00    4.15528421548E+00
  430.0   468.0    2.19498331715E+00    2.44401784407E+00
  468.0   507.0    1.29734085903E+00    1.44626962705E+00
  507.0   548.0    7.77931742482E-01    8.69223298649E-01
  548.0   592.0    4.65908880432E-01    5.20571955174E-01
  592.0   638.0    2.78605594000E-01    3.11889280300E-01
  638.0   686.0    1.67328962223E-01    1.87516167958E-01
  686.0   737.0    1.00411970493E-01    1.12980999745E-01
  737.0   790.0    6.01704948811E-02    6.77809563611E-02
  790.0   846.0    3.59985248208E-02    4.07119562819E-02
  846.0   905.0    2.13882789646E-02    2.42622552407E-02
  905.0   967.0    1.26195056214E-02    1.43801410753E-02
  967.0   1032.    7.38949038609E-03    8.45207073668E-03
  1032.   1101.    4.27661591428E-03    4.91865329149E-03
  1101.   1172.    2.45075855273E-03    2.83252537771E-03
  1172.   1248.    1.38760644940E-03    1.61187671587E-03
  1248.   1327.    7.70294247899E-04    9.00413771761E-04
  1327.   1410.    4.21136057869E-04    4.95530217735E-04
  1410.   1497.    2.25385308312E-04    2.67318223903E-04
  1497.   1588.    1.17870678740E-04    1.40674539139E-04
  1588.   1784.    4.43709411664E-05    5.35143463937E-05
  1784.   2116.    7.48981357447E-06    9.21414938402E-06
  2116.   2500.    5.35122397469E-07    6.76496451486E-07
  2500.   3000.    1.71958266284E-08    2.18486594357E-08
