 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.50611370896E+07    2.15478647508E+07
  21.00   24.00    8.38067543799E+06    1.14125452496E+07
  24.00   28.00    4.61355925872E+06    6.16590896318E+06
  28.00   32.00    2.49139073318E+06    3.28061158041E+06
  32.00   37.00    1.36075281940E+06    1.75661610917E+06
  37.00   43.00    7.06896510458E+05    9.01892869983E+05
  43.00   49.00    3.73257357665E+05    4.64801541145E+05
  49.00   56.00    2.03110674044E+05    2.50625014464E+05
  56.00   64.00    1.08646921141E+05    1.33111883951E+05
  64.00   74.00    5.59835757320E+04    6.73135791769E+04
  74.00   84.00    2.88698029421E+04    3.43070769517E+04
  84.00   97.00    1.48491743656E+04    1.75342385842E+04
  97.00   114.0    6.92068885831E+03    8.07746500750E+03
  114.0   133.0    3.08148482168E+03    3.56295364595E+03
  133.0   153.0    1.42600364819E+03    1.63951609789E+03
  153.0   174.0    6.96750612074E+02    7.94708961028E+02
  174.0   196.0    3.56096511603E+02    4.04706562078E+02
  196.0   220.0    1.86798416285E+02    2.11488294784E+02
  220.0   245.0    1.00043931235E+02    1.12945685545E+02
  245.0   272.0    5.47806059742E+01    6.17487910393E+01
  272.0   300.0    3.05359500729E+01    3.43193210987E+01
  300.0   330.0    1.73419632760E+01    1.94311564845E+01
  330.0   362.0    9.92127745375E+00    1.11206094193E+01
  362.0   395.0    5.76210412569E+00    6.45557981668E+00
  395.0   430.0    3.39882762063E+00    3.80568760820E+00
  430.0   468.0    2.00424231856E+00    2.24393626583E+00
  468.0   507.0    1.18868050774E+00    1.33231289362E+00
  507.0   548.0    7.14774367064E-01    8.03103053255E-01
  548.0   592.0    4.29949098708E-01    4.83024988663E-01
  592.0   638.0    2.58561103759E-01    2.90969830946E-01
  638.0   686.0    1.56420435258E-01    1.76168589245E-01
  686.0   737.0    9.47012283386E-02    1.07038949854E-01
  737.0   790.0    5.73067036160E-02    6.48071905120E-02
  790.0   846.0    3.46760789791E-02    3.93407763941E-02
  846.0   905.0    2.08751434088E-02    2.37331627845E-02
  905.0   967.0    1.24994247245E-02    1.42604144384E-02
  967.0   1032.    7.44134840563E-03    8.51038222577E-03
  1032.   1101.    4.38575349796E-03    5.03554230010E-03
  1101.   1172.    2.56346958575E-03    2.95283102180E-03
  1172.   1248.    1.48258929648E-03    1.71306461712E-03
  1248.   1327.    8.42010289041E-04    9.76832212668E-04
  1327.   1410.    4.71504053699E-04    5.49316393205E-04
  1410.   1497.    2.58753865622E-04    3.03054088004E-04
  1497.   1588.    1.38889797254E-04    1.63238678997E-04
  1588.   1784.    5.42277287962E-05    6.41426008285E-05
  1784.   2116.    9.74721562416E-06    1.16762829930E-05
  2116.   2500.    7.60040721907E-07    9.29169431033E-07
  2500.   3000.    2.61779482862E-08    3.28983412598E-08
