 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.13179814166E+07    2.22376105670E+07
  21.00   24.00    1.13062665602E+07    1.16837515315E+07
  24.00   28.00    5.96851818782E+06    6.31672074883E+06
  28.00   32.00    3.10122580503E+06    3.37471739668E+06
  32.00   37.00    1.63933031403E+06    1.81006029866E+06
  37.00   43.00    8.25154082752E+05    9.32074289319E+05
  43.00   49.00    4.23763713300E+05    4.81302620745E+05
  49.00   56.00    2.25248492154E+05    2.60369684649E+05
  56.00   64.00    1.17877447355E+05    1.38619688677E+05
  64.00   74.00    5.94849659392E+04    7.03130007939E+04
  74.00   84.00    3.00885369934E+04    3.59357027035E+04
  84.00   97.00    1.51985843371E+04    1.83964333941E+04
  97.00   114.0    6.94033334908E+03    8.47909608723E+03
  114.0   133.0    3.02509708826E+03    3.73616539291E+03
  133.0   153.0    1.37214752785E+03    1.71446839079E+03
  153.0   174.0    6.58781013458E+02    8.28716980413E+02
  174.0   196.0    3.31512499201E+02    4.20672202193E+02
  196.0   220.0    1.71376980964E+02    2.18990070201E+02
  220.0   245.0    9.05164727818E+01    1.16447909212E+02
  245.0   272.0    4.88745563516E+01    6.33088313410E+01
  272.0   300.0    2.68629802770E+01    3.49696788119E+01
  300.0   330.0    1.50784357250E+01    1.97088653750E+01
  330.0   362.0    8.53586125037E+00    1.12299096982E+01
  362.0   395.0    4.90707413649E+00    6.49074392068E+00
  395.0   430.0    2.86563438666E+00    3.80959664002E+00
  430.0   468.0    1.67079398632E+00    2.23238652981E+00
  468.0   507.0    9.79650125510E-01    1.31661853357E+00
  507.0   548.0    5.83769194296E-01    7.89998803321E-01
  548.0   592.0    3.47670346840E-01    4.72732823333E-01
  592.0   638.0    2.06861370529E-01    2.83046868502E-01
  638.0   686.0    1.23686680058E-01    1.70150852541E-01
  686.0   737.0    7.39146985674E-02    1.02452326132E-01
  737.0   790.0    4.41318486266E-02    6.14885401734E-02
  790.0   846.0    2.63124575621E-02    3.69371378533E-02
  846.0   905.0    1.55811292270E-02    2.20191956601E-02
  905.0   967.0    9.16344898385E-03    1.30496635509E-02
  967.0   1032.    5.34858925512E-03    7.67042554431E-03
  1032.   1101.    3.08567349398E-03    4.46205683673E-03
  1101.   1172.    1.76275195862E-03    2.56913650012E-03
  1172.   1248.    9.94924050112E-04    1.46140376224E-03
  1248.   1327.    5.50519855670E-04    8.15936293455E-04
  1327.   1410.    2.99977012506E-04    4.48693547231E-04
  1410.   1497.    1.59964437093E-04    2.41792926437E-04
  1497.   1588.    8.33186743102E-05    1.27090300048E-04
  1588.   1784.    3.11511087567E-05    4.82086881607E-05
  1784.   2116.    5.16344614729E-06    8.21433270711E-06
  2116.   2500.    3.47747635198E-07    5.79475841892E-07
  2500.   3000.    9.14766399523E-09    1.63041987356E-08
