 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.82937707732E+07    2.20304012506E+07
  21.00   24.00    9.85214670044E+06    1.15282741226E+07
  24.00   28.00    5.26821267657E+06    6.18181251958E+06
  28.00   32.00    2.77410059349E+06    3.27847528901E+06
  32.00   37.00    1.48512392105E+06    1.75178949190E+06
  37.00   43.00    7.56596994948E+05    8.98026198372E+05
  43.00   49.00    3.92732182012E+05    4.62119944819E+05
  49.00   56.00    2.10696276010E+05    2.49151323309E+05
  56.00   64.00    1.11155342798E+05    1.32205884964E+05
  64.00   74.00    5.65595805658E+04    6.68579076622E+04
  74.00   84.00    2.88449965159E+04    3.40978505662E+04
  84.00   97.00    1.46914073096E+04    1.74415329708E+04
  97.00   114.0    6.77956104050E+03    8.04558473755E+03
  114.0   133.0    2.98801783619E+03    3.55167192152E+03
  133.0   153.0    1.36877051080E+03    1.63317474652E+03
  153.0   174.0    6.63358656706E+02    7.91667681363E+02
  174.0   196.0    3.36775652883E+02    4.03272623068E+02
  196.0   220.0    1.75690015841E+02    2.10868771805E+02
  220.0   245.0    9.35905499822E+01    1.12630151179E+02
  245.0   272.0    5.09222462129E+01    6.14818400372E+01
  272.0   300.0    2.82022114714E+01    3.41071055196E+01
  300.0   330.0    1.59209943734E+01    1.92768765745E+01
  330.0   362.0    9.06055530930E+00    1.10146094558E+01
  362.0   395.0    5.23601672228E+00    6.38423972308E+00
  395.0   430.0    3.07296646957E+00    3.75714755565E+00
  430.0   468.0    1.80038672299E+00    2.20768000267E+00
  468.0   507.0    1.06006779449E+00    1.30505030469E+00
  507.0   548.0    6.33029620096E-01    7.83163455034E-01
  548.0   592.0    3.78136848342E-01    4.69032009691E-01
  592.0   638.0    2.25625142219E-01    2.81068319471E-01
  638.0   686.0    1.35299426039E-01    1.69118309475E-01
  686.0   737.0    8.11548987254E-02    1.02036942056E-01
  737.0   790.0    4.85903952870E-02    6.12849416427E-02
  790.0   846.0    2.90808341613E-02    3.68871954887E-02
  846.0   905.0    1.72992690805E-02    2.20479399330E-02
  905.0   967.0    1.02200100525E-02    1.31037653153E-02
  967.0   1032.    5.99936425558E-03    7.73280102433E-03
  1032.   1101.    3.48162163268E-03    4.51773612814E-03
  1101.   1172.    2.00215423919E-03    2.61438065664E-03
  1172.   1248.    1.13790012439E-03    1.49510430486E-03
  1248.   1327.    6.34282902599E-04    8.39662045497E-04
  1327.   1410.    3.48253721987E-04    4.64568068063E-04
  1410.   1497.    1.87143680392E-04    2.51908662265E-04
  1497.   1588.    9.82407312251E-05    1.33230806162E-04
  1588.   1784.    3.71147846537E-05    5.09495894679E-05
  1784.   2116.    6.27153735014E-06    8.80861253851E-06
  2116.   2500.    4.39616045248E-07    6.40234999233E-07
  2500.   3000.    1.27980393315E-08    1.95324351214E-08
