 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.35978232187E+07    1.95611705420E+07
  21.00   24.00    7.59681868764E+06    1.04168881672E+07
  24.00   28.00    4.19920811279E+06    5.65506010371E+06
  28.00   32.00    2.28126779262E+06    3.02647629434E+06
  32.00   37.00    1.25495548074E+06    1.63264041731E+06
  37.00   43.00    6.57039547898E+05    8.44695352244E+05
  43.00   49.00    3.49658229871E+05    4.38757472101E+05
  49.00   56.00    1.91737844060E+05    2.38285121090E+05
  56.00   64.00    1.03331612906E+05    1.27501598451E+05
  64.00   74.00    5.36937563443E+04    6.49782862634E+04
  74.00   84.00    2.79392332226E+04    3.34017486662E+04
  84.00   97.00    1.45014565495E+04    1.72216895879E+04
  97.00   114.0    6.83112507894E+03    8.01499171771E+03
  114.0   133.0    3.07521327952E+03    3.57225431550E+03
  133.0   153.0    1.43670265282E+03    1.65863781417E+03
  153.0   174.0    7.08643374575E+02    8.11138608738E+02
  174.0   196.0    3.65548925416E+02    4.16672610460E+02
  196.0   220.0    1.93552029660E+02    2.19641669386E+02
  220.0   245.0    1.04568162205E+02    1.18255207404E+02
  245.0   272.0    5.76668427176E+01    6.50796438761E+01
  272.0   300.0    3.23511208200E+01    3.63778193552E+01
  300.0   330.0    1.84854635855E+01    2.07119164968E+01
  330.0   362.0    1.06420712883E+01    1.19208218564E+01
  362.0   395.0    6.21737305819E+00    6.95564954588E+00
  395.0   430.0    3.68653023368E+00    4.11919624552E+00
  430.0   468.0    2.18180300158E+00    2.43606929589E+00
  468.0   507.0    1.29722775316E+00    1.44929446334E+00
  507.0   548.0    7.81658397388E-01    8.74760064619E-01
  548.0   592.0    4.70918733930E-01    5.26657067879E-01
  592.0   638.0    2.83302132238E-01    3.17194734905E-01
  638.0   686.0    1.71207396558E-01    1.91740501418E-01
  686.0   737.0    1.03442377974E-01    1.16217324623E-01
  737.0   790.0    6.23677699892E-02    7.00875415173E-02
  790.0   846.0    3.75671767619E-02    4.23441310298E-02
  846.0   905.0    2.24823966693E-02    2.53912902433E-02
  905.0   967.0    1.33585943466E-02    1.51401369965E-02
  967.0   1032.    7.88307781640E-03    8.95708824451E-03
  1032.   1101.    4.59725197788E-03    5.24603114847E-03
  1101.   1172.    2.65526226253E-03    3.04130109085E-03
  1172.   1248.    1.51494865811E-03    1.74163103498E-03
  1248.   1327.    8.47285790276E-04    9.78897408538E-04
  1327.   1410.    4.66482686925E-04    5.41807481343E-04
  1410.   1497.    2.51211575497E-04    2.93681134478E-04
  1497.   1588.    1.32049534887E-04    1.55156608509E-04
  1588.   1784.    4.99002073751E-05    5.91466483842E-05
  1784.   2116.    8.39894059526E-06    1.01307407343E-05
  2116.   2500.    5.78363988652E-07    7.17805980267E-07
  2500.   3000.    1.61761808813E-08    2.08679799468E-08
