 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.90926044677E+07    2.32060917618E+07
  21.00   24.00    1.06307426745E+07    1.21179161367E+07
  24.00   28.00    5.85633149907E+06    6.54433895522E+06
  28.00   32.00    3.16622979439E+06    3.48098584151E+06
  32.00   37.00    1.73140076774E+06    1.86186240817E+06
  37.00   43.00    9.00617333168E+05    9.57488845241E+05
  43.00   49.00    4.76278572938E+05    4.92043126807E+05
  49.00   56.00    2.59588485534E+05    2.65999439360E+05
  56.00   64.00    1.39155552643E+05    1.41836991857E+05
  64.00   74.00    7.19123597476E+04    7.17274239676E+04
  74.00   84.00    3.72071213018E+04    3.66769440415E+04
  84.00   97.00    1.92025293674E+04    1.88324622538E+04
  97.00   114.0    8.98267489464E+03    8.70516141870E+03
  114.0   133.0    4.01202910107E+03    3.85305864053E+03
  133.0   153.0    1.86057558844E+03    1.77914575152E+03
  153.0   174.0    9.10683103529E+02    8.64123767178E+02
  174.0   196.0    4.65770463217E+02    4.41092456059E+02
  196.0   220.0    2.44050612660E+02    2.30565818822E+02
  220.0   245.0    1.30356221850E+02    1.23023162347E+02
  245.0   272.0    7.10705292541E+01    6.71090883575E+01
  272.0   300.0    3.94030666546E+01    3.71541627241E+01
  300.0   330.0    2.22738253761E+01    2.09729016787E+01
  330.0   362.0    1.26770117298E+01    1.19704704517E+01
  362.0   395.0    7.31713783259E+00    6.92120760403E+00
  395.0   430.0    4.28577780891E+00    4.06064286853E+00
  430.0   468.0    2.50540802300E+00    2.37896526113E+00
  468.0   507.0    1.47268196389E+00    1.40374696341E+00
  507.0   548.0    8.79065908206E-01    8.42178843421E-01
  548.0   592.0    5.24261165362E-01    5.03226631375E-01
  592.0   638.0    3.12287243335E-01    3.01051159378E-01
  638.0   686.0    1.86906304023E-01    1.80746050618E-01
  686.0   737.0    1.11794688789E-01    1.08840854920E-01
  737.0   790.0    6.68025861655E-02    6.52323766494E-02
  790.0   846.0    3.98637406692E-02    3.91779743515E-02
  846.0   905.0    2.36298835848E-02    2.33435789914E-02
  905.0   967.0    1.39147673018E-02    1.38411296263E-02
  967.0   1032.    8.13522449972E-03    8.13971562505E-03
  1032.   1101.    4.70327738128E-03    4.74259746608E-03
  1101.   1172.    2.69395835309E-03    2.73524596531E-03
  1172.   1248.    1.52545328079E-03    1.55944862581E-03
  1248.   1327.    8.47378086098E-04    8.73350351060E-04
  1327.   1410.    4.63817799711E-04    4.82016212952E-04
  1410.   1497.    2.48602248286E-04    2.60917852069E-04
  1497.   1588.    1.30226513353E-04    1.37697045408E-04
  1588.   1784.    4.91111354173E-05    5.25787972352E-05
  1784.   2116.    8.28228372641E-06    9.07542217507E-06
  2116.   2500.    5.76771720851E-07    6.54262435126E-07
  2500.   3000.    1.60948930152E-08    1.88662893670E-08
