 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.33884634198E+07    1.88689743016E+07
  21.00   24.00    7.26401578418E+06    9.98534688230E+06
  24.00   28.00    3.91712595951E+06    5.37577007400E+06
  28.00   32.00    2.07826849420E+06    2.85753458530E+06
  32.00   37.00    1.11952372521E+06    1.53211875475E+06
  37.00   43.00    5.74655586359E+05    7.87760788792E+05
  43.00   49.00    3.00637352925E+05    4.08148824800E+05
  49.00   56.00    1.62507157011E+05    2.20857696942E+05
  56.00   64.00    8.64779921478E+04    1.17764004211E+05
  64.00   74.00    4.43874458504E+04    5.99945598889E+04
  74.00   84.00    2.28337471045E+04    3.07827561914E+04
  84.00   97.00    1.17302019899E+04    1.58314918008E+04
  97.00   114.0    5.46587564100E+03    7.35587842419E+03
  114.0   133.0    2.43626402691E+03    3.27428417326E+03
  133.0   153.0    1.12964282485E+03    1.51929114056E+03
  153.0   174.0    5.53339896738E+02    7.42766582251E+02
  174.0   196.0    2.83627674878E+02    3.81043201735E+02
  196.0   220.0    1.49263439783E+02    2.00564687683E+02
  220.0   245.0    8.02177047479E+01    1.07848931441E+02
  245.0   272.0    4.40819667393E+01    5.93399893142E+01
  272.0   300.0    2.46634937371E+01    3.31981581284E+01
  300.0   330.0    1.40596714890E+01    1.89173486486E+01
  330.0   362.0    8.07464158934E+00    1.08871384139E+01
  362.0   395.0    4.70783122752E+00    6.35525468802E+00
  395.0   430.0    2.78764664440E+00    3.76709723887E+00
  430.0   468.0    1.65025351003E+00    2.23314834326E+00
  468.0   507.0    9.82546990618E-01    1.33247531263E+00
  507.0   548.0    5.93053053949E-01    8.06720236971E-01
  548.0   592.0    3.58058208063E-01    4.87626301075E-01
  592.0   638.0    2.16109813411E-01    2.95050482529E-01
  638.0   686.0    1.31190919306E-01    1.79437379943E-01
  686.0   737.0    7.96878668945E-02    1.09426893207E-01
  737.0   790.0    4.83714243098E-02    6.65324888948E-02
  790.0   846.0    2.93532988117E-02    4.05280299191E-02
  846.0   905.0    1.77171406972E-02    2.45367041700E-02
  905.0   967.0    1.06332226422E-02    1.47883132783E-02
  967.0   1032.    6.34299181498E-03    8.85189402883E-03
  1032.   1101.    3.74461720677E-03    5.25075242093E-03
  1101.   1172.    2.19156384532E-03    3.08691868393E-03
  1172.   1248.    1.26866247060E-03    1.79487562756E-03
  1248.   1327.    7.20905639753E-04    1.02554741145E-03
  1327.   1410.    4.03748555098E-04    5.77752336111E-04
  1410.   1497.    2.21532948253E-04    3.19178671490E-04
  1497.   1588.    1.18846970141E-04    1.72254198286E-04
  1588.   1784.    4.63379118624E-05    6.78098112029E-05
  1784.   2116.    8.30161265739E-06    1.23797379834E-05
  2116.   2500.    6.46656976698E-07    9.93936737289E-07
  2500.   3000.    2.29442061740E-08    3.66235768311E-08
