 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.64795770757E+07    2.11186620614E+07
  21.00   24.00    8.72530176898E+06    1.10442700169E+07
  24.00   28.00    4.59467200045E+06    5.88087836775E+06
  28.00   32.00    2.38607995523E+06    3.10113015297E+06
  32.00   37.00    1.26284949665E+06    1.65212255494E+06
  37.00   43.00    6.36239932928E+05    8.43031681265E+05
  43.00   49.00    3.27051564932E+05    4.33468799147E+05
  49.00   56.00    1.74073883171E+05    2.33046377078E+05
  56.00   64.00    9.11607431718E+04    1.23272411923E+05
  64.00   74.00    4.60776415073E+04    6.23608285099E+04
  74.00   84.00    2.33624906726E+04    3.17839432572E+04
  84.00   97.00    1.18405824806E+04    1.62360776450E+04
  97.00   114.0    5.43800974084E+03    7.49042572939E+03
  114.0   133.0    2.38647847696E+03    3.30658023866E+03
  133.0   153.0    1.08940234651E+03    1.52002070781E+03
  153.0   174.0    5.26596739943E+02    7.37406114175E+02
  174.0   196.0    2.66812025679E+02    3.75739936760E+02
  196.0   220.0    1.38973796485E+02    1.96581194991E+02
  220.0   245.0    7.39350116344E+01    1.05040836114E+02
  245.0   272.0    4.01798291825E+01    5.73462857858E+01
  272.0   300.0    2.22290753429E+01    3.18293237304E+01
  300.0   330.0    1.25362988804E+01    1.79982478954E+01
  330.0   362.0    7.12747528593E+00    1.02820099774E+01
  362.0   395.0    4.11507107425E+00    5.95967838042E+00
  395.0   430.0    2.41284802331E+00    3.50728772868E+00
  430.0   468.0    1.41218478560E+00    2.06035388984E+00
  468.0   507.0    8.30562601569E-01    1.21712348781E+00
  507.0   548.0    4.95403161329E-01    7.29699417246E-01
  548.0   592.0    2.95562006723E-01    4.36820971395E-01
  592.0   638.0    1.76109740463E-01    2.61512541811E-01
  638.0   686.0    1.05445382167E-01    1.57202371700E-01
  686.0   737.0    6.31466125785E-02    9.46993592656E-02
  737.0   790.0    3.77425220289E-02    5.68140912891E-02
  790.0   846.0    2.25458091768E-02    3.41374135766E-02
  846.0   905.0    1.33841338407E-02    2.03712132058E-02
  905.0   967.0    7.88928282186E-03    1.20818243641E-02
  967.0   1032.    4.61971942933E-03    7.11467266217E-03
  1032.   1101.    2.67363962866E-03    4.14576428312E-03
  1101.   1172.    1.53290101847E-03    2.39272928783E-03
  1172.   1248.    8.68327766617E-04    1.36429994957E-03
  1248.   1327.    4.82188785031E-04    7.63523389820E-04
  1327.   1410.    2.63588125350E-04    4.20718691065E-04
  1410.   1497.    1.40937961311E-04    2.27024196489E-04
  1497.   1588.    7.35613584668E-05    1.19451987837E-04
  1588.   1784.    2.75369252398E-05    4.52862269847E-05
  1784.   2116.    4.55896722462E-06    7.67730895464E-06
  2116.   2500.    3.06402687687E-07    5.35764057347E-07
  2500.   3000.    8.32881421900E-09    1.52850981486E-08
