 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.49762352898E+07    2.32236758851E+07
  21.00   24.00    1.34388797024E+07    1.20666655110E+07
  24.00   28.00    7.18990584582E+06    6.55105734918E+06
  28.00   32.00    3.78476759245E+06    3.51486195991E+06
  32.00   37.00    2.02395874947E+06    1.88904566519E+06
  37.00   43.00    1.03019626794E+06    9.77950780690E+05
  43.00   49.00    5.34149338844E+05    5.04351806029E+05
  49.00   56.00    2.86116568191E+05    2.73815537293E+05
  56.00   64.00    1.50682338486E+05    1.46231794039E+05
  64.00   74.00    7.64238111695E+04    7.39873405620E+04
  74.00   84.00    3.88039108809E+04    3.77833472409E+04
  84.00   97.00    1.96546470812E+04    1.93454078249E+04
  97.00   114.0    8.99853474118E+03    8.90127815036E+03
  114.0   133.0    3.93004855851E+03    3.91663898677E+03
  133.0   153.0    1.78478133566E+03    1.79592104677E+03
  153.0   174.0    8.57262023314E+02    8.66264356296E+02
  174.0   196.0    4.31261046630E+02    4.39207978560E+02
  196.0   220.0    2.22787508400E+02    2.28285366084E+02
  220.0   245.0    1.17590460641E+02    1.21259395444E+02
  245.0   272.0    6.34562180223E+01    6.58863659131E+01
  272.0   300.0    3.48493382063E+01    3.63497453523E+01
  300.0   330.0    1.95365628861E+01    2.04538677399E+01
  330.0   362.0    1.10430760762E+01    1.16446952403E+01
  362.0   395.0    6.33775501412E+00    6.72181663661E+00
  395.0   430.0    3.69381296376E+00    3.93881400284E+00
  430.0   468.0    2.14893900215E+00    2.30409449839E+00
  468.0   507.0    1.25678265949E+00    1.35659380637E+00
  507.0   548.0    7.46732603044E-01    8.12404905919E-01
  548.0   592.0    4.43434409635E-01    4.84766912059E-01
  592.0   638.0    2.63095151224E-01    2.89605975302E-01
  638.0   686.0    1.56897471425E-01    1.73683509652E-01
  686.0   737.0    9.35525212529E-02    1.04452268373E-01
  737.0   790.0    5.57511222358E-02    6.25734744443E-02
  790.0   846.0    3.31962277345E-02    3.75676819533E-02
  846.0   905.0    1.96427198455E-02    2.23873275538E-02
  905.0   967.0    1.15504215462E-02    1.32763928964E-02
  967.0   1032.    6.74453484891E-03    7.81172480739E-03
  1032.   1101.    3.89442186005E-03    4.55256696388E-03
  1101.   1172.    2.22754646118E-03    2.62652619470E-03
  1172.   1248.    1.25908610458E-03    1.49738287829E-03
  1248.   1327.    6.97771585442E-04    8.38228516733E-04
  1327.   1410.    3.80776257887E-04    4.62075643285E-04
  1410.   1497.    2.03313944991E-04    2.49651254714E-04
  1497.   1588.    1.06016426150E-04    1.31439561563E-04
  1588.   1784.    3.96980319901E-05    4.99795970377E-05
  1784.   2116.    6.62580214985E-06    8.57295490477E-06
  2116.   2500.    4.67549643373E-07    6.27678769088E-07
  2500.   3000.    1.50128698838E-08    2.07819530232E-08
