 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.45600260551E+07    2.09058948116E+07
  21.00   24.00    8.12639219210E+06    1.11032034279E+07
  24.00   28.00    4.48760224841E+06    6.01723384177E+06
  28.00   32.00    2.43122049588E+06    3.21010610591E+06
  32.00   37.00    1.33194336857E+06    1.72390928644E+06
  37.00   43.00    6.94137134728E+05    8.87648987139E+05
  43.00   49.00    3.67619708926E+05    4.58767799398E+05
  49.00   56.00    2.00586582744E+05    2.47975283607E+05
  56.00   64.00    1.07587233202E+05    1.32055448741E+05
  64.00   74.00    5.55923630619E+04    6.69445495040E+04
  74.00   84.00    2.87482572720E+04    3.42118049487E+04
  84.00   97.00    1.48275468048E+04    1.75311074786E+04
  97.00   114.0    6.93285424044E+03    8.10073150798E+03
  114.0   133.0    3.09780437597E+03    3.58486614251E+03
  133.0   153.0    1.43850272406E+03    1.65492581108E+03
  153.0   174.0    7.05151895551E+02    8.04572174587E+02
  174.0   196.0    3.61495175313E+02    4.10877122883E+02
  196.0   220.0    1.90182401973E+02    2.15273564580E+02
  220.0   245.0    1.02135203405E+02    1.15247542955E+02
  245.0   272.0    5.60651244142E+01    6.31467332999E+01
  272.0   300.0    3.13217525639E+01    3.51622962163E+01
  300.0   330.0    1.78222151550E+01    1.99414920722E+01
  330.0   362.0    1.02122618725E+01    1.14277310790E+01
  362.0   395.0    5.93830170121E+00    6.64006544826E+00
  395.0   430.0    3.50554010723E+00    3.91678138740E+00
  430.0   468.0    2.06790847521E+00    2.30977642340E+00
  468.0   507.0    1.22630442304E+00    1.37112276776E+00
  507.0   548.0    7.36955598251E-01    8.25879027807E-01
  548.0   592.0    4.42788957071E-01    4.96144125521E-01
  592.0   638.0    2.65834691545E-01    2.98380647592E-01
  638.0   686.0    1.60459421719E-01    1.80258066906E-01
  686.0   737.0    9.68713981386E-02    1.09231928627E-01
  737.0   790.0    5.84183237416E-02    6.59260686227E-02
  790.0   846.0    3.52059554696E-02    3.98710524885E-02
  846.0   905.0    2.10946997543E-02    2.39508281792E-02
  905.0   967.0    1.25634970530E-02    1.43217030404E-02
  967.0   1032.    7.43473414355E-03    8.50131302334E-03
  1032.   1101.    4.35266657797E-03    5.00067164036E-03
  1101.   1172.    2.52560691821E-03    2.91354852236E-03
  1172.   1248.    1.44919878986E-03    1.67850602801E-03
  1248.   1327.    8.16059786760E-04    9.50129770112E-04
  1327.   1410.    4.52893530803E-04    5.30139208026E-04
  1410.   1497.    2.46227406924E-04    2.90124103617E-04
  1497.   1588.    1.30915720196E-04    1.54993711906E-04
  1588.   1784.    5.04789239095E-05    6.02557981241E-05
  1784.   2116.    8.92578551428E-06    1.08168950994E-05
  2116.   2500.    6.97980646258E-07    8.63787208512E-07
  2500.   3000.    2.61763802043E-08    3.30930858970E-08
