 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.58700883019E+07    2.02954924251E+07
  21.00   24.00    8.41456652331E+06    1.06322198680E+07
  24.00   28.00    4.44495704808E+06    5.68060386737E+06
  28.00   32.00    2.31203510639E+06    3.00184145458E+06
  32.00   37.00    1.22362228007E+06    1.59889916938E+06
  37.00   43.00    6.17027465411E+05    8.16919619602E+05
  43.00   49.00    3.17536533143E+05    4.20592224090E+05
  49.00   56.00    1.69134944225E+05    2.26280272558E+05
  56.00   64.00    8.87143858972E+04    1.19899055137E+05
  64.00   74.00    4.48762466567E+04    6.07056918578E+04
  74.00   84.00    2.27588058341E+04    3.09384048541E+04
  84.00   97.00    1.15341702261E+04    1.58042026460E+04
  97.00   114.0    5.29477043524E+03    7.28655908172E+03
  114.0   133.0    2.32401312968E+03    3.21638142059E+03
  133.0   153.0    1.06258816453E+03    1.48035243851E+03
  153.0   174.0    5.14104118167E+02    7.18498360300E+02
  174.0   196.0    2.60649294754E+02    3.66135896059E+02
  196.0   220.0    1.35822252847E+02    1.91545710825E+02
  220.0   245.0    7.23431823335E+01    1.02426432761E+02
  245.0   272.0    3.94390879219E+01    5.60733808376E+01
  272.0   300.0    2.19091817644E+01    3.12360872166E+01
  300.0   330.0    1.24114661387E+01    1.77326092677E+01
  330.0   362.0    7.08848645914E+00    1.01715579134E+01
  362.0   395.0    4.11289031500E+00    5.92178671185E+00
  395.0   430.0    2.42531368772E+00    3.50298214902E+00
  430.0   468.0    1.43060704195E+00    2.07328200463E+00
  468.0   507.0    8.49145253835E-01    1.23561413451E+00
  507.0   548.0    5.11215924474E-01    7.47513671798E-01
  548.0   592.0    3.07969452550E-01    4.51705764588E-01
  592.0   638.0    1.85521413957E-01    2.73317148515E-01
  638.0   686.0    1.12431277760E-01    1.66270298206E-01
  686.0   737.0    6.81856662573E-02    1.01428555898E-01
  737.0   790.0    4.13246023182E-02    6.17020133787E-02
  790.0   846.0    2.50350639687E-02    3.76014286809E-02
  846.0   905.0    1.50815642990E-02    2.27726742662E-02
  905.0   967.0    9.03083007760E-03    1.37245392696E-02
  967.0   1032.    5.37219442825E-03    8.21278407756E-03
  1032.   1101.    3.16060429862E-03    4.86693671019E-03
  1101.   1172.    1.84194817665E-03    2.85683421981E-03
  1172.   1248.    1.06077690896E-03    1.65708232989E-03
  1248.   1327.    5.98967020136E-04    9.43631318761E-04
  1327.   1410.    3.32910438569E-04    5.29123665136E-04
  1410.   1497.    1.80988924500E-04    2.90527952411E-04
  1497.   1588.    9.60402282169E-05    1.55579695677E-04
  1588.   1784.    3.67806891404E-05    6.04165458379E-05
  1784.   2116.    6.34266680017E-06    1.06882643270E-05
  2116.   2500.    4.58698574002E-07    8.02745820198E-07
  2500.   3000.    1.45112703114E-08    2.64688382995E-08
