 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.90401429788E+07    2.29594455293E+07
  21.00   24.00    1.02624963362E+07    1.20228610917E+07
  24.00   28.00    5.49494159515E+06    6.45534012797E+06
  28.00   32.00    2.89135910505E+06    3.42317003282E+06
  32.00   37.00    1.54394400815E+06    1.82382508085E+06
  37.00   43.00    7.84301211319E+05    9.32588872499E+05
  43.00   49.00    4.05738599155E+05    4.78305915339E+05
  49.00   56.00    2.16829265980E+05    2.56912256840E+05
  56.00   64.00    1.13941390115E+05    1.35772245763E+05
  64.00   74.00    5.76626507049E+04    6.83185968583E+04
  74.00   84.00    2.92175295815E+04    3.46156210142E+04
  84.00   97.00    1.47760941331E+04    1.75819189158E+04
  97.00   114.0    6.75728259425E+03    8.03755012072E+03
  114.0   133.0    2.95002254235E+03    3.51492015461E+03
  133.0   153.0    1.34042302434E+03    1.60305282497E+03
  153.0   174.0    6.44227244973E+02    7.70581478135E+02
  174.0   196.0    3.24399371960E+02    3.89283755688E+02
  196.0   220.0    1.67864283296E+02    2.01892580374E+02
  220.0   245.0    8.87760158563E+01    1.07050359757E+02
  245.0   272.0    4.80556416889E+01    5.81289646207E+01
  272.0   300.0    2.65082727051E+01    3.21159550694E+01
  300.0   330.0    1.49135391159E+01    1.80843544068E+01
  330.0   362.0    8.45936858974E+00    1.02972040750E+01
  362.0   395.0    4.87575302958E+00    5.95178886383E+00
  395.0   430.0    2.85686816136E+00    3.49592433353E+00
  430.0   468.0    1.67469951695E+00    2.05485663692E+00
  468.0   507.0    9.88092343053E-01    1.21677708781E+00
  507.0   548.0    5.91554846099E-01    7.31949179288E-01
  548.0   592.0    3.54500208095E-01    4.39599612371E-01
  592.0   638.0    2.12513637883E-01    2.64558667148E-01
  638.0   686.0    1.28232284810E-01    1.60123920242E-01
  686.0   737.0    7.74766116836E-02    9.72757078017E-02
  737.0   790.0    4.68110310598E-02    5.89316798845E-02
  790.0   846.0    2.82944004791E-02    3.58059556074E-02
  846.0   905.0    1.70222921592E-02    2.16342453313E-02
  905.0   967.0    1.01903684999E-02    1.30236041581E-02
  967.0   1032.    6.06805382824E-03    7.79269323631E-03
  1032.   1101.    3.57873437260E-03    4.62437187101E-03
  1101.   1172.    2.09418762333E-03    2.72202802862E-03
  1172.   1248.    1.21320387756E-03    1.58591629822E-03
  1248.   1327.    6.90589439596E-04    9.09117250559E-04
  1327.   1410.    3.87852099815E-04    5.14280900858E-04
  1410.   1497.    2.13661247964E-04    2.85741674730E-04
  1497.   1588.    1.15225535989E-04    1.55172805841E-04
  1588.   1784.    4.53535238751E-05    6.17806971696E-05
  1784.   2116.    8.30828965998E-06    1.15611292372E-05
  2116.   2500.    6.77523938944E-07    9.73754494509E-07
  2500.   3000.    2.57047874823E-08    3.84115113285E-08
