 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.44877270800E+07    2.06884934979E+07
  21.00   24.00    8.03842554215E+06    1.09395355364E+07
  24.00   28.00    4.41679679610E+06    5.90105317305E+06
  28.00   32.00    2.38190780128E+06    3.13710181733E+06
  32.00   37.00    1.29992103473E+06    1.67903025243E+06
  37.00   43.00    6.74992779547E+05    8.62034763808E+05
  43.00   49.00    3.56373163933E+05    4.44420252810E+05
  49.00   56.00    1.93954330178E+05    2.39709216530E+05
  56.00   64.00    1.03794462398E+05    1.27415155815E+05
  64.00   74.00    5.35247972028E+04    6.45011914416E+04
  74.00   84.00    2.76335101308E+04    3.29179503473E+04
  84.00   97.00    1.42351385974E+04    1.68568366675E+04
  97.00   114.0    6.65000222741E+03    7.78561183594E+03
  114.0   133.0    2.97057385531E+03    3.44628672426E+03
  133.0   153.0    1.38002998000E+03    1.59235670849E+03
  153.0   174.0    6.77242197929E+02    7.75343219227E+02
  174.0   196.0    3.47781657084E+02    3.96749893095E+02
  196.0   220.0    1.83391000345E+02    2.08415977206E+02
  220.0   245.0    9.87749065144E+01    1.11923774776E+02
  245.0   272.0    5.44084526375E+01    6.15479736306E+01
  272.0   300.0    3.05185014300E+01    3.44153736670E+01
  300.0   330.0    1.74439572726E+01    1.96057580450E+01
  330.0   362.0    1.00466774195E+01    1.12929417058E+01
  362.0   395.0    5.87478624123E+00    6.59772755547E+00
  395.0   430.0    3.48897903932E+00    3.91425823595E+00
  430.0   468.0    2.07177907988E+00    2.32300523198E+00
  468.0   507.0    1.23737529691E+00    1.38821594422E+00
  507.0   548.0    7.49179043688E-01    8.42043445836E-01
  548.0   592.0    4.53737449351E-01    5.09620197748E-01
  592.0   638.0    2.74732290106E-01    3.08873227095E-01
  638.0   686.0    1.67313963233E-01    1.88124276298E-01
  686.0   737.0    1.01960829487E-01    1.14970206414E-01
  737.0   790.0    6.20986837301E-02    7.00059851759E-02
  790.0   846.0    3.78136229334E-02    4.27321174077E-02
  846.0   905.0    2.29070282451E-02    2.59204572627E-02
  905.0   967.0    1.38018830225E-02    1.56602201714E-02
  967.0   1032.    8.26811388327E-03    9.39591938627E-03
  1032.   1101.    4.90385308162E-03    5.59010152545E-03
  1101.   1172.    2.88472847504E-03    3.29665276633E-03
  1172.   1248.    1.67939363718E-03    1.92352524161E-03
  1248.   1327.    9.60370338569E-04    1.10352903585E-03
  1327.   1410.    5.41652627052E-04    6.24574592948E-04
  1410.   1497.    2.99533053581E-04    3.46921744294E-04
  1497.   1588.    1.62098576958E-04    1.88283713015E-04
  1588.   1784.    6.40540663232E-05    7.48008211523E-05
  1784.   2116.    1.17795904644E-05    1.39094322092E-05
  2116.   2500.    9.57427372044E-07    1.15129533576E-06
  2500.   3000.    3.54875890302E-08    4.37564376579E-08
