 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.80467244410E+07    2.16777857984E+07
  21.00   24.00    9.83091134365E+06    1.14654201108E+07
  24.00   28.00    5.31425495861E+06    6.22125539042E+06
  28.00   32.00    2.82330799112E+06    3.32927566371E+06
  32.00   37.00    1.52119113769E+06    1.79030901015E+06
  37.00   43.00    7.80019729972E+05    9.24122912052E+05
  43.00   49.00    4.07213839387E+05    4.78237450549E+05
  49.00   56.00    2.19470866340E+05    2.59078543732E+05
  56.00   64.00    1.16342706963E+05    1.38149064689E+05
  64.00   74.00    5.94339439437E+04    7.01530778202E+04
  74.00   84.00    3.04035486407E+04    3.58936008858E+04
  84.00   97.00    1.55196816789E+04    1.84010798853E+04
  97.00   114.0    7.17085093118E+03    8.50062185438E+03
  114.0   133.0    3.16245057485E+03    3.75560236533E+03
  133.0   153.0    1.44922056924E+03    1.72781449705E+03
  153.0   174.0    7.01592475463E+02    8.36744900725E+02
  174.0   196.0    3.55329599357E+02    4.25260413441E+02
  196.0   220.0    1.84577282848E+02    2.21443529578E+02
  220.0   245.0    9.78637838583E+01    1.17737434484E+02
  245.0   272.0    5.30158773575E+01    6.40014075611E+01
  272.0   300.0    2.92200813552E+01    3.53356831657E+01
  300.0   330.0    1.64327210220E+01    1.98943918631E+01
  330.0   362.0    9.31545930422E+00    1.13223807956E+01
  362.0   395.0    5.36219329239E+00    6.53639970644E+00
  395.0   430.0    3.13534795526E+00    3.83165198327E+00
  430.0   468.0    1.83132028488E+00    2.24422884375E+00
  468.0   507.0    1.07624171775E+00    1.32365549646E+00
  507.0   548.0    6.43097852872E-01    7.94674306073E-01
  548.0   592.0    3.84494158975E-01    4.76189812130E-01
  592.0   638.0    2.30000549505E-01    2.85955996858E-01
  638.0   686.0    1.38448940078E-01    1.72634767008E-01
  686.0   737.0    8.34350868465E-02    1.04600689198E-01
  737.0   790.0    5.03146466684E-02    6.32555826788E-02
  790.0   846.0    3.03437060533E-02    3.83501895123E-02
  846.0   905.0    1.82023547479E-02    2.31092204665E-02
  905.0   967.0    1.08578951652E-02    1.38658338474E-02
  967.0   1032.    6.43504462778E-03    8.25969180821E-03
  1032.   1101.    3.77321695610E-03    4.87575115974E-03
  1101.   1172.    2.19258150496E-03    2.85115129538E-03
  1172.   1248.    1.25988247463E-03    1.64858610595E-03
  1248.   1327.    7.10631177053E-04    9.36888206883E-04
  1327.   1410.    3.95246716602E-04    5.25134736059E-04
  1410.   1497.    2.15576546387E-04    2.88964517037E-04
  1497.   1588.    1.15168627435E-04    1.55506436684E-04
  1588.   1784.    4.48677254739E-05    6.12804653439E-05
  1784.   2116.    8.17965051079E-06    1.13917719294E-05
  2116.   2500.    6.92016180871E-07    9.83214142903E-07
  2500.   3000.    3.00513510074E-08    4.22773914089E-08
