 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.37861207476E+07    1.94324006769E+07
  21.00   24.00    7.49655560892E+06    1.03051861540E+07
  24.00   28.00    4.04315834531E+06    5.54975309562E+06
  28.00   32.00    2.14572590461E+06    2.95135634466E+06
  32.00   37.00    1.15636202772E+06    1.58323196820E+06
  37.00   43.00    5.92882854163E+05    8.13184567608E+05
  43.00   49.00    3.09437270427E+05    4.20402722843E+05
  49.00   56.00    1.66751098714E+05    2.26803417920E+05
  56.00   64.00    8.83323770302E+04    1.20390417097E+05
  64.00   74.00    4.51180071510E+04    6.10428964967E+04
  74.00   84.00    2.30918889949E+04    3.11639003746E+04
  84.00   97.00    1.18010458265E+04    1.59450995636E+04
  97.00   114.0    5.46659042086E+03    7.36519943946E+03
  114.0   133.0    2.41942448615E+03    3.25549190764E+03
  133.0   153.0    1.11306584964E+03    1.49881150151E+03
  153.0   174.0    5.41865488256E+02    7.28282588173E+02
  174.0   196.0    2.76399096740E+02    3.71810020815E+02
  196.0   220.0    1.44937819963E+02    1.95009165135E+02
  220.0   245.0    7.76392358143E+01    1.04522015381E+02
  245.0   272.0    4.24918257812E+01    5.72748245265E+01
  272.0   300.0    2.36801747423E+01    3.19187017329E+01
  300.0   330.0    1.34546092332E+01    1.81295722700E+01
  330.0   362.0    7.70957511687E+00    1.04108827959E+01
  362.0   395.0    4.48704236353E+00    6.06735827860E+00
  395.0   430.0    2.65226028977E+00    3.59078839741E+00
  430.0   468.0    1.56521592761E+00    2.12216842720E+00
  468.0   507.0    9.28355489760E-01    1.26169305046E+00
  507.0   548.0    5.58346866446E-01    7.61279226913E-01
  548.0   592.0    3.35886185920E-01    4.58594831920E-01
  592.0   638.0    2.01808723476E-01    2.76314997515E-01
  638.0   686.0    1.21824122129E-01    1.67154240397E-01
  686.0   737.0    7.35365174343E-02    1.01331728018E-01
  737.0   790.0    4.42973142303E-02    6.11625659126E-02
  790.0   846.0    2.66606828061E-02    3.69668793306E-02
  846.0   905.0    1.59417780138E-02    2.21812318112E-02
  905.0   967.0    9.46329464753E-03    1.32274709429E-02
  967.0   1032.    5.57902731170E-03    7.82910945832E-03
  1032.   1101.    3.24976997256E-03    4.58438383110E-03
  1101.   1172.    1.87444001897E-03    2.65737248077E-03
  1172.   1248.    1.06792062581E-03    1.52143265646E-03
  1248.   1327.    5.96358872704E-04    8.54772861099E-04
  1327.   1410.    3.27744760605E-04    4.72726061354E-04
  1410.   1497.    1.76132238363E-04    2.55940922820E-04
  1497.   1588.    9.23834323311E-05    1.35087936861E-04
  1588.   1784.    3.48066257475E-05    5.14181486499E-05
  1784.   2116.    5.82271135514E-06    8.77193601453E-06
  2116.   2500.    3.97633755727E-07    6.18268365521E-07
  2500.   3000.    1.10296697137E-08    1.78776046317E-08
