 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.24872470872E+07    2.39481186013E+07
  21.00   24.00    1.18011252377E+07    1.24369162320E+07
  24.00   28.00    6.16940802911E+06    6.64165439638E+06
  28.00   32.00    3.17440075691E+06    3.50947977284E+06
  32.00   37.00    1.66253415875E+06    1.86192573334E+06
  37.00   43.00    8.29013834745E+05    9.48427337958E+05
  43.00   49.00    4.22028307135E+05    4.84926728225E+05
  49.00   56.00    2.22547780683E+05    2.59943512228E+05
  56.00   64.00    1.15549939841E+05    1.37130401317E+05
  64.00   74.00    5.78400986674E+04    6.89398370682E+04
  74.00   84.00    2.90285891419E+04    3.49196661758E+04
  84.00   97.00    1.45624525034E+04    1.77373019252E+04
  97.00   114.0    6.60769201611E+03    8.11588528955E+03
  114.0   133.0    2.86438981460E+03    3.55337789203E+03
  133.0   153.0    1.29400414515E+03    1.62254451500E+03
  153.0   174.0    6.18960383786E+02    7.80914426775E+02
  174.0   196.0    3.10382467994E+02    3.94831175227E+02
  196.0   220.0    1.59986055549E+02    2.04860983458E+02
  220.0   245.0    8.42844793122E+01    1.08625587090E+02
  245.0   272.0    4.54472175567E+01    5.89522686566E+01
  272.0   300.0    2.49679434071E+01    3.25400643081E+01
  300.0   330.0    1.39871780305E+01    1.82978211910E+01
  330.0   362.0    7.89759407170E+00    1.03956525921E+01
  362.0   395.0    4.52985147509E+00    5.99285987099E+00
  395.0   430.0    2.64060112115E+00    3.50958817938E+00
  430.0   468.0    1.53933075298E+00    2.05556235414E+00
  468.0   507.0    9.02858242666E-01    1.21219245126E+00
  507.0   548.0    5.37220150326E-01    7.25864752740E-01
  548.0   592.0    3.19858634610E-01    4.33896625951E-01
  592.0   638.0    1.90442665953E-01    2.59778843601E-01
  638.0   686.0    1.14107435880E-01    1.56386240466E-01
  686.0   737.0    6.84422740018E-02    9.44523046055E-02
  737.0   790.0    4.10417438973E-02    5.68870168312E-02
  790.0   846.0    2.46152778922E-02    3.43498497323E-02
  846.0   905.0    1.46896639585E-02    2.06224827025E-02
  905.0   967.0    8.72019490323E-03    1.23297413143E-02
  967.0   1032.    5.14725760723E-03    7.32561372054E-03
  1032.   1101.    3.00785744680E-03    4.31459886334E-03
  1101.   1172.    1.74320821018E-03    2.51967613727E-03
  1172.   1248.    9.99671260141E-04    1.45584841506E-03
  1248.   1327.    5.62916724627E-04    8.27123671530E-04
  1327.   1410.    3.12568416799E-04    4.63430000004E-04
  1410.   1497.    1.70104901017E-04    2.54833467091E-04
  1497.   1588.    9.05716500932E-05    1.36894627726E-04
  1588.   1784.    3.50150731708E-05    5.36669921305E-05
  1784.   2116.    6.22887660306E-06    9.79039138749E-06
  2116.   2500.    4.93157704061E-07    8.04789597138E-07
  2500.   3000.    1.89183357592E-08    3.22778842521E-08
