 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.57897583043E+07    2.01180313042E+07
  21.00   24.00    8.39248127157E+06    1.05648684604E+07
  24.00   28.00    4.44349885609E+06    5.66076874912E+06
  28.00   32.00    2.31669772393E+06    2.99859619882E+06
  32.00   37.00    1.22876582723E+06    1.60121062849E+06
  37.00   43.00    6.21051699134E+05    8.20137380486E+05
  43.00   49.00    3.20322971588E+05    4.23259467903E+05
  49.00   56.00    1.70974511015E+05    2.28249249866E+05
  56.00   64.00    8.98685612621E+04    1.21226917523E+05
  64.00   74.00    4.55599737158E+04    6.15198685083E+04
  74.00   84.00    2.31559852168E+04    3.14331238618E+04
  84.00   97.00    1.17599364800E+04    1.60931528870E+04
  97.00   114.0    5.41067375627E+03    7.43933929411E+03
  114.0   133.0    2.38016815280E+03    3.29223592531E+03
  133.0   153.0    1.09026742257E+03    1.51862834265E+03
  153.0   174.0    5.28218544896E+02    7.38340641763E+02
  174.0   196.0    2.68051156198E+02    3.76732201471E+02
  196.0   220.0    1.39746609310E+02    1.97247324770E+02
  220.0   245.0    7.44355368863E+01    1.05513092815E+02
  245.0   272.0    4.05617127557E+01    5.77561320707E+01
  272.0   300.0    2.25123305153E+01    3.21530665346E+01
  300.0   330.0    1.27356902920E+01    1.82339542888E+01
  330.0   362.0    7.26017006521E+00    1.04421649061E+01
  362.0   395.0    4.20281501743E+00    6.06672017389E+00
  395.0   430.0    2.47162726648E+00    3.57974229378E+00
  430.0   468.0    1.45329768536E+00    2.11236706803E+00
  468.0   507.0    8.59525370205E-01    1.25457254127E+00
  507.0   548.0    5.15462483588E-01    7.56123596311E-01
  548.0   592.0    3.09222085037E-01    4.55029407502E-01
  592.0   638.0    1.85441647603E-01    2.74107533310E-01
  638.0   686.0    1.11864051976E-01    1.65979961959E-01
  686.0   737.0    6.75226783349E-02    1.00771166382E-01
  737.0   790.0    4.07306404016E-02    6.10111521998E-02
  790.0   846.0    2.45627027607E-02    3.70049918686E-02
  846.0   905.0    1.47327571340E-02    2.23108019166E-02
  905.0   967.0    8.78670622642E-03    1.33897848044E-02
  967.0   1032.    5.20869256526E-03    7.98230345404E-03
  1032.   1101.    3.05566180998E-03    4.71561948006E-03
  1101.   1172.    1.77714756480E-03    2.76129533330E-03
  1172.   1248.    1.02233987273E-03    1.59927996345E-03
  1248.   1327.    5.77277091897E-04    9.10294118315E-04
  1327.   1410.    3.21279526365E-04    5.10832683797E-04
  1410.   1497.    1.75155436456E-04    2.81099063829E-04
  1497.   1588.    9.33611546740E-05    1.51090225256E-04
  1588.   1784.    3.60818385837E-05    5.91455334643E-05
  1784.   2116.    6.37113509194E-06    1.06896040045E-05
  2116.   2500.    4.87549671003E-07    8.46136388530E-07
  2500.   3000.    1.71973732075E-08    3.09565322139E-08
