 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.71793023607E+07    2.06874282471E+07
  21.00   24.00    9.24542536631E+06    1.08209865344E+07
  24.00   28.00    4.94837595485E+06    5.80648418284E+06
  28.00   32.00    2.60633701477E+06    3.07976810645E+06
  32.00   37.00    1.39473963573E+06    1.64479145918E+06
  37.00   43.00    7.11158905824E+05    8.43864711129E+05
  43.00   49.00    3.69775496118E+05    4.34953108980E+05
  49.00   56.00    1.98802278339E+05    2.34951894145E+05
  56.00   64.00    1.05246762745E+05    1.25111734570E+05
  64.00   74.00    5.37502310266E+04    6.34874098800E+04
  74.00   84.00    2.75219240152E+04    3.25009439047E+04
  84.00   97.00    1.40798125140E+04    1.66984774676E+04
  97.00   114.0    6.53280143119E+03    7.74374613651E+03
  114.0   133.0    2.90022317967E+03    3.44276821038E+03
  133.0   153.0    1.34032029837E+03    1.59691275026E+03
  153.0   174.0    6.54770198309E+02    7.80156149807E+02
  174.0   196.0    3.34860796851E+02    4.00265220704E+02
  196.0   220.0    1.75876351249E+02    2.10689798127E+02
  220.0   245.0    9.43471674356E+01    1.13311976723E+02
  245.0   272.0    5.17567695728E+01    6.23593949990E+01
  272.0   300.0    2.89077284003E+01    3.48830560905E+01
  300.0   330.0    1.64503968222E+01    1.98700042112E+01
  330.0   362.0    9.43013246317E+00    1.14351496098E+01
  362.0   395.0    5.48729017243E+00    6.67258291312E+00
  395.0   430.0    3.24240150811E+00    3.95272130804E+00
  430.0   468.0    1.91507263683E+00    2.34116469207E+00
  468.0   507.0    1.13740213679E+00    1.39570077344E+00
  507.0   548.0    6.84741276801E-01    8.44242091217E-01
  548.0   592.0    4.12268602458E-01    5.09506316868E-01
  592.0   638.0    2.48101018864E-01    3.07844396432E-01
  638.0   686.0    1.50158275602E-01    1.86895994317E-01
  686.0   737.0    9.09287673531E-02    1.13810089670E-01
  737.0   790.0    5.50242294025E-02    6.90636703380E-02
  790.0   846.0    3.32888059515E-02    4.20037451722E-02
  846.0   905.0    2.00329291100E-02    2.53884054629E-02
  905.0   967.0    1.19892594034E-02    1.52806398063E-02
  967.0   1032.    7.13354021280E-03    9.13525914255E-03
  1032.   1101.    4.20178674272E-03    5.41446196318E-03
  1101.   1172.    2.45458597038E-03    3.18161553121E-03
  1172.   1248.    1.41901749188E-03    1.84970332467E-03
  1248.   1327.    8.05770681840E-04    1.05762992706E-03
  1327.   1410.    4.51305190898E-04    5.96623599360E-04
  1410.   1497.    2.47850176609E-04    3.30386107243E-04
  1497.   1588.    1.33231793607E-04    1.78837648760E-04
  1588.   1784.    5.22113479506E-05    7.08721952731E-05
  1784.   2116.    9.50513484451E-06    1.31769347494E-05
  2116.   2500.    7.72362996519E-07    1.10634748381E-06
  2500.   3000.    2.95834989975E-08    4.41845605786E-08
