 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    2.32246718726E+07    2.16578852214E+07
  21.00   24.00    1.23766876790E+07    1.11663387478E+07
  24.00   28.00    6.56513583241E+06    6.00127437436E+06
  28.00   32.00    3.42818719471E+06    3.19351809717E+06
  32.00   37.00    1.82044510295E+06    1.70390583602E+06
  37.00   43.00    9.21071249324E+05    8.76316112918E+05
  43.00   49.00    4.75560170020E+05    4.49944221323E+05
  49.00   56.00    2.54097861345E+05    2.43470001571E+05
  56.00   64.00    1.33721481410E+05    1.29897503635E+05
  64.00   74.00    6.78930564447E+04    6.57339437476E+04
  74.00   84.00    3.45709606927E+04    3.36386874365E+04
  84.00   97.00    1.75952651208E+04    1.73036407436E+04
  97.00   114.0    8.11896011023E+03    8.01970193127E+03
  114.0   133.0    3.58457501486E+03    3.56563875298E+03
  133.0   153.0    1.64847021695E+03    1.65514804759E+03
  153.0   174.0    8.01866378864E+02    8.08287376897E+02
  174.0   196.0    4.08539102398E+02    4.14943307178E+02
  196.0   220.0    2.13837138232E+02    2.18475929940E+02
  220.0   245.0    1.14347622700E+02    1.17542873231E+02
  245.0   272.0    6.25463421573E+01    6.47225749625E+01
  272.0   300.0    3.48397603696E+01    3.62074091711E+01
  300.0   330.0    1.97766256338E+01    2.06228405135E+01
  330.0   362.0    1.13101054201E+01    1.18768763576E+01
  362.0   395.0    6.56669109842E+00    6.93311622776E+00
  395.0   430.0    3.87222339625E+00    4.10840454605E+00
  430.0   468.0    2.28254262511E+00    2.43432805987E+00
  468.0   507.0    1.35309306435E+00    1.45214197261E+00
  507.0   548.0    8.13153896370E-01    8.79129772121E-01
  548.0   592.0    4.88752902490E-01    5.30698065555E-01
  592.0   638.0    2.93648260442E-01    3.20852542545E-01
  638.0   686.0    1.77448788469E-01    1.94875158300E-01
  686.0   737.0    1.07294473433E-01    1.18785429590E-01
  737.0   790.0    6.48345606285E-02    7.21065608619E-02
  790.0   846.0    3.91699480249E-02    4.38928668055E-02
  846.0   905.0    2.35407354581E-02    2.65477093425E-02
  905.0   967.0    1.40704358319E-02    1.59931042161E-02
  967.0   1032.    8.36139209062E-03    9.56796682816E-03
  1032.   1101.    4.91904827028E-03    5.67659630099E-03
  1101.   1172.    2.87022577892E-03    3.33865710661E-03
  1172.   1248.    1.65742164819E-03    1.94262493430E-03
  1248.   1327.    9.40101145690E-04    1.11195354664E-03
  1327.   1410.    5.25977301024E-04    6.27954957976E-04
  1410.   1497.    2.88557037723E-04    3.48183748982E-04
  1497.   1588.    1.54956033377E-04    1.88660206195E-04
  1588.   1784.    6.06441511855E-05    7.48881897766E-05
  1784.   2116.    1.10172959545E-05    1.39663922528E-05
  2116.   2500.    8.92902333124E-07    1.17806155527E-06
  2500.   3000.    3.41168874314E-08    4.73171296369E-08
