==> ../CT10/000/ci0049.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  2.000	   1.556e+00   -4.659e-01  1.556e+00 -4.659e-01
  1.000  2.000	   1.410e+00   -1.058e-01  1.410e+00 -1.058e-01
  2.000  2.000	   1.290e+00    1.332e-01  1.290e+00  1.332e-01
==> ../CT10/000/ci0174.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.301e+00   -2.090e-01  1.301e+00 -2.090e-01
  1.000  0.500	   1.182e+00    4.788e-02  1.182e+00  4.788e-02
  2.000  0.500	   1.083e+00    2.231e-01  1.083e+00  2.231e-01
  0.500  1.000	   1.275e+00   -2.137e-01  1.275e+00 -2.137e-01
  1.000  1.000	   1.158e+00    3.889e-02  1.158e+00  3.889e-02
  2.000  1.000	   1.062e+00    2.120e-01  1.062e+00  2.120e-01
  0.500  2.000	   1.250e+00   -1.915e-01  1.250e+00 -1.915e-01
  1.000  2.000	   1.135e+00    5.140e-02  1.135e+00  5.140e-02
  2.000  2.000	   1.041e+00    2.190e-01  1.041e+00  2.190e-01
==> ../CT10/000/ci0196.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.093e+00   -1.011e-01  1.093e+00 -1.011e-01
  1.000  0.500	   9.949e-01    9.813e-02  9.949e-01  9.813e-02
  2.000  0.500	   9.139e-01    2.343e-01  9.139e-01  2.343e-01
  0.500  1.000	   1.064e+00   -9.832e-02  1.064e+00 -9.832e-02
  1.000  1.000	   9.685e-01    9.555e-02  9.685e-01  9.555e-02
  2.000  1.000	   8.895e-01    2.281e-01  8.895e-01  2.281e-01
  0.500  2.000	   1.041e+00   -6.723e-02  1.041e+00 -6.723e-02
  1.000  2.000	   9.473e-01    1.151e-01  9.473e-01  1.151e-01
  2.000  2.000	   8.701e-01    2.415e-01  8.701e-01  2.415e-01
==> ../CT10/000/ci0220.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   9.013e-01   -1.523e-02  9.013e-01 -1.523e-02
  1.000  0.500	   8.225e-01    1.347e-01  8.225e-01  1.347e-01
  2.000  0.500	   7.570e-01    2.374e-01  7.570e-01  2.374e-01
  0.500  1.000	   8.717e-01    5.194e-03  8.717e-01  5.194e-03
  1.000  1.000	   7.955e-01    1.469e-01  7.955e-01  1.469e-01
  2.000  1.000	   7.322e-01    2.434e-01  7.322e-01  2.434e-01
  0.500  2.000	   8.510e-01    2.650e-02  8.510e-01  2.650e-02
  1.000  2.000	   7.765e-01    1.623e-01  7.765e-01  1.623e-01
  2.000  2.000	   7.147e-01    2.537e-01  7.147e-01  2.537e-01
==> ../CT10/000/ci0245.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   7.704e-01    5.505e-02  7.704e-01  5.505e-02
  1.000  0.500	   7.044e-01    1.700e-01  7.044e-01  1.700e-01
  2.000  0.500	   6.496e-01    2.481e-01  6.496e-01  2.481e-01
  0.500  1.000	   7.439e-01    6.652e-02  7.439e-01  6.652e-02
  1.000  1.000	   6.802e-01    1.752e-01  6.802e-01  1.752e-01
  2.000  1.000	   6.272e-01    2.490e-01  6.272e-01  2.490e-01
  0.500  2.000	   7.195e-01    9.292e-02  7.195e-01  9.292e-02
  1.000  2.000	   6.580e-01    1.933e-01  6.580e-01  1.933e-01
  2.000  2.000	   6.067e-01    2.608e-01  6.067e-01  2.608e-01
==> ../CT10/000/ci0272.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   6.440e-01    8.071e-02  6.440e-01  8.071e-02
  1.000  0.500	   5.903e-01    1.697e-01  5.903e-01  1.697e-01
  2.000  0.500	   5.453e-01    2.300e-01  5.453e-01  2.300e-01
  0.500  1.000	   6.166e-01    9.723e-02  6.166e-01  9.723e-02
  1.000  1.000	   5.651e-01    1.791e-01  5.651e-01  1.791e-01
  2.000  1.000	   5.222e-01    2.344e-01  5.222e-01  2.344e-01
  0.500  2.000	   5.913e-01    1.140e-01  5.913e-01  1.140e-01
  1.000  2.000	   5.418e-01    1.887e-01  5.418e-01  1.887e-01
  2.000  2.000	   5.006e-01    2.391e-01  5.006e-01  2.391e-01
==> ../CT10/000/ci0300.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   5.539e-01    1.014e-01  5.539e-01  1.014e-01
  1.000  0.500	   5.087e-01    1.717e-01  5.087e-01  1.717e-01
  2.000  0.500	   4.709e-01    2.192e-01  4.709e-01  2.192e-01
  0.500  1.000	   5.323e-01    1.185e-01  5.323e-01  1.185e-01
  1.000  1.000	   4.888e-01    1.824e-01  4.888e-01  1.824e-01
  2.000  1.000	   4.526e-01    2.255e-01  4.526e-01  2.255e-01
  0.500  2.000	   5.077e-01    1.306e-01  5.077e-01  1.306e-01
  1.000  2.000	   4.662e-01    1.887e-01  4.662e-01  1.887e-01
  2.000  2.000	   4.317e-01    2.276e-01  4.317e-01  2.276e-01
==> ../CT10/000/ci0330.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   4.846e-01    1.171e-01  4.846e-01  1.171e-01
  1.000  0.500	   4.458e-01    1.730e-01  4.458e-01  1.730e-01
  2.000  0.500	   4.135e-01    2.107e-01  4.135e-01  2.107e-01
  0.500  1.000	   4.601e-01    1.324e-01  4.601e-01  1.324e-01
  1.000  1.000	   4.236e-01    1.820e-01  4.236e-01  1.820e-01
  2.000  1.000	   3.929e-01    2.153e-01  3.929e-01  2.153e-01
  0.500  2.000	   4.385e-01    1.478e-01  4.385e-01  1.478e-01
  1.000  2.000	   4.035e-01    1.917e-01  4.035e-01  1.917e-01
  2.000  2.000	   3.742e-01    2.205e-01  3.742e-01  2.205e-01
==> ../CT10/000/ci0362.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   4.062e-01    1.156e-01  4.062e-01  1.156e-01
  1.000  0.500	   3.747e-01    1.590e-01  3.747e-01  1.590e-01
  2.000  0.500	   3.482e-01    1.884e-01  3.482e-01  1.884e-01
  0.500  1.000	   3.844e-01    1.325e-01  3.844e-01  1.325e-01
  1.000  1.000	   3.547e-01    1.700e-01  3.547e-01  1.700e-01
  2.000  1.000	   3.294e-01    1.948e-01  3.294e-01  1.948e-01
  0.500  2.000	   3.657e-01    1.436e-01  3.657e-01  1.436e-01
  1.000  2.000	   3.372e-01    1.764e-01  3.372e-01  1.764e-01
  2.000  2.000	   3.134e-01    1.978e-01  3.134e-01  1.978e-01
==> ../CT10/000/ci0395.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   3.547e-01    1.175e-01  3.547e-01  1.175e-01
  1.000  0.500	   3.280e-01    1.524e-01  3.280e-01  1.524e-01
  2.000  0.500	   3.055e-01    1.757e-01  3.055e-01  1.757e-01
  0.500  1.000	   3.351e-01    1.308e-01  3.351e-01  1.308e-01
  1.000  1.000	   3.098e-01    1.606e-01  3.098e-01  1.606e-01
  2.000  1.000	   2.886e-01    1.803e-01  2.886e-01  1.803e-01
  0.500  2.000	   3.174e-01    1.428e-01  3.174e-01  1.428e-01
  1.000  2.000	   2.934e-01    1.680e-01  2.934e-01  1.680e-01
  2.000  2.000	   2.731e-01    1.844e-01  2.731e-01  1.844e-01
==> ../CT10/000/ci0430.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   3.164e-01    1.175e-01  3.164e-01  1.175e-01
  1.000  0.500	   2.931e-01    1.462e-01  2.931e-01  1.462e-01
  2.000  0.500	   2.734e-01    1.653e-01  2.734e-01  1.653e-01
  0.500  1.000	   2.974e-01    1.291e-01  2.974e-01  1.291e-01
  1.000  1.000	   2.756e-01    1.531e-01  2.756e-01  1.531e-01
  2.000  1.000	   2.571e-01    1.690e-01  2.571e-01  1.690e-01
  0.500  2.000	   2.798e-01    1.377e-01  2.798e-01  1.377e-01
  1.000  2.000	   2.592e-01    1.579e-01  2.592e-01  1.579e-01
  2.000  2.000	   2.418e-01    1.708e-01  2.418e-01  1.708e-01
==> ../CT10/000/ci0468.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   2.669e-01    1.084e-01  2.669e-01  1.084e-01
  1.000  0.500	   2.478e-01    1.308e-01  2.478e-01  1.308e-01
  2.000  0.500	   2.317e-01    1.457e-01  2.317e-01  1.457e-01
  0.500  1.000	   2.497e-01    1.174e-01  2.497e-01  1.174e-01
  1.000  1.000	   2.319e-01    1.359e-01  2.319e-01  1.359e-01
  2.000  1.000	   2.168e-01    1.480e-01  2.168e-01  1.480e-01
  0.500  2.000	   2.344e-01    1.262e-01  2.344e-01  1.262e-01
  1.000  2.000	   2.176e-01    1.413e-01  2.176e-01  1.413e-01
  2.000  2.000	   2.035e-01    1.508e-01  2.035e-01  1.508e-01
==> ../CT10/000/ci0507.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   2.309e-01    1.009e-01  2.309e-01  1.009e-01
  1.000  0.500	   2.148e-01    1.189e-01  2.148e-01  1.189e-01
  2.000  0.500	   2.012e-01    1.309e-01  2.012e-01  1.309e-01
  0.500  1.000	   2.147e-01    1.093e-01  2.147e-01  1.093e-01
  1.000  1.000	   1.998e-01    1.238e-01  1.998e-01  1.238e-01
  2.000  1.000	   1.872e-01    1.331e-01  1.872e-01  1.331e-01
  0.500  2.000	   2.006e-01    1.164e-01  2.006e-01  1.164e-01
  1.000  2.000	   1.866e-01    1.278e-01  1.866e-01  1.278e-01
  2.000  2.000	   1.749e-01    1.349e-01  1.749e-01  1.349e-01
==> ../CT10/000/ci0548.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   2.038e-01    9.589e-02  2.038e-01  9.589e-02
