==> ../CT10/000/ci0049.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  1.000  2.000	   1.242e-02    1.221e-02  1.242e-02  1.221e-02
  2.000  2.000	   1.201e-02    1.217e-02  1.201e-02  1.217e-02
==> ../CT10/000/ci1410.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.257e-02    8.484e-03  1.257e-02  8.484e-03
  1.000  0.500	   1.213e-02    8.860e-03  1.213e-02  8.860e-03
  2.000  0.500	   1.175e-02    9.118e-03  1.175e-02  9.118e-03
  0.500  1.000	   1.087e-02    8.898e-03  1.087e-02  8.898e-03
  1.000  1.000	   1.049e-02    9.058e-03  1.049e-02  9.058e-03
  2.000  1.000	   1.016e-02    9.148e-03  1.016e-02  9.148e-03
  0.500  2.000	   9.494e-03    9.163e-03  9.494e-03  9.163e-03
  1.000  2.000	   9.161e-03    9.158e-03  9.161e-03  9.158e-03
  2.000  2.000	   8.874e-03    9.112e-03  8.874e-03  9.112e-03
==> ../CT10/000/ci1497.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   9.131e-03    6.237e-03  9.131e-03  6.237e-03
  1.000  0.500	   8.831e-03    6.496e-03  8.831e-03  6.496e-03
  2.000  0.500	   8.574e-03    6.677e-03  8.574e-03  6.677e-03
  0.500  1.000	   7.856e-03    6.541e-03  7.856e-03  6.541e-03
  1.000  1.000	   7.596e-03    6.642e-03  7.596e-03  6.642e-03
  2.000  1.000	   7.374e-03    6.696e-03  7.374e-03  6.696e-03
  0.500  2.000	   6.831e-03    6.720e-03  6.831e-03  6.720e-03
  1.000  2.000	   6.606e-03    6.703e-03  6.606e-03  6.703e-03
  2.000  2.000	   6.411e-03    6.663e-03  6.411e-03  6.663e-03
==> ../CT10/000/ci1588.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.087e-02    7.541e-03  1.087e-02  7.541e-03
  1.000  0.500	   1.054e-02    7.827e-03  1.054e-02  7.827e-03
  2.000  0.500	   1.026e-02    8.026e-03  1.026e-02  8.026e-03
  0.500  1.000	   9.271e-03    7.906e-03  9.271e-03  7.906e-03
  1.000  1.000	   8.994e-03    8.003e-03  8.994e-03  8.003e-03
  2.000  1.000	   8.754e-03    8.052e-03  8.754e-03  8.052e-03
  0.500  2.000	   7.987e-03    8.098e-03  7.987e-03  8.098e-03
  1.000  2.000	   7.747e-03    8.055e-03  7.747e-03  8.055e-03
  2.000  2.000	   7.539e-03    7.989e-03  7.539e-03  7.989e-03
==> ../CT10/000/ci1784.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   5.798e-03    4.130e-03  5.798e-03  4.130e-03
  1.000  0.500	   5.651e-03    4.264e-03  5.651e-03  4.264e-03
  2.000  0.500	   5.524e-03    4.360e-03  5.524e-03  4.360e-03
  0.500  1.000	   4.865e-03    4.317e-03  4.865e-03  4.317e-03
  1.000  1.000	   4.741e-03    4.350e-03  4.741e-03  4.350e-03
  2.000  1.000	   4.634e-03    4.363e-03  4.634e-03  4.363e-03
  0.500  2.000	   4.129e-03    4.395e-03  4.129e-03  4.395e-03
  1.000  2.000	   4.024e-03    4.353e-03  4.024e-03  4.353e-03
  2.000  2.000	   3.933e-03    4.307e-03  3.933e-03  4.307e-03
==> ../CT10/000/ci2116.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   6.469e-04    4.752e-04  6.469e-04  4.752e-04
  1.000  0.500	   6.333e-04    4.882e-04  6.333e-04  4.882e-04
  2.000  0.500	   6.214e-04    4.977e-04  6.214e-04  4.977e-04
  0.500  1.000	   5.328e-04    4.950e-04  5.328e-04  4.950e-04
  1.000  1.000	   5.215e-04    4.964e-04  5.215e-04  4.964e-04
  2.000  1.000	   5.118e-04    4.964e-04  5.118e-04  4.964e-04
  0.500  2.000	   4.444e-04    4.998e-04  4.444e-04  4.998e-04
  1.000  2.000	   4.350e-04    4.932e-04  4.350e-04  4.932e-04
  2.000  2.000	   4.269e-04    4.866e-04  4.269e-04  4.866e-04
==> ../CT10/000/ci2250.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   4.241e-04    3.190e-04  4.241e-04  3.190e-04
  1.000  0.500	   4.161e-04    3.266e-04  4.161e-04  3.266e-04
  2.000  0.500	   4.092e-04    3.323e-04  4.092e-04  3.323e-04
  0.500  1.000	   3.451e-04    3.305e-04  3.451e-04  3.305e-04
  1.000  1.000	   3.386e-04    3.306e-04  3.386e-04  3.306e-04
  2.000  1.000	   3.330e-04    3.299e-04  3.330e-04  3.299e-04
  0.500  2.000	   2.848e-04    3.320e-04  2.848e-04  3.320e-04
  1.000  2.000	   2.794e-04    3.269e-04  2.794e-04  3.269e-04
  2.000  2.000	   2.747e-04    3.221e-04  2.747e-04  3.221e-04
==> ../CT10/000/ci2500.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   8.477e-05    6.610e-05  8.477e-05  6.610e-05
  1.000  0.500	   8.342e-05    6.739e-05  8.342e-05  6.739e-05
  2.000  0.500	   8.225e-05    6.835e-05  8.225e-05  6.835e-05
  0.500  1.000	   6.770e-05    6.799e-05  6.770e-05  6.799e-05
  1.000  1.000	   6.663e-05    6.776e-05  6.663e-05  6.776e-05
  2.000  1.000	   6.569e-05    6.745e-05  6.569e-05  6.745e-05
  0.500  2.000	   5.488e-05    6.754e-05  5.488e-05  6.754e-05
  1.000  2.000	   5.400e-05    6.631e-05  5.400e-05  6.631e-05
  2.000  2.000	   5.324e-05    6.517e-05  5.324e-05  6.517e-05
==> ../CT10/000/ci2750.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   1.292e-05    1.051e-05  1.292e-05  1.051e-05
  1.000  0.500	   1.275e-05    1.067e-05  1.275e-05  1.067e-05
  2.000  0.500	   1.260e-05    1.079e-05  1.260e-05  1.079e-05
  0.500  1.000	   1.012e-05    1.072e-05  1.012e-05  1.072e-05
  1.000  1.000	   9.988e-06    1.064e-05  9.988e-06  1.064e-05
  2.000  1.000	   9.870e-06    1.057e-05  9.870e-06  1.057e-05
  0.500  2.000	   8.061e-06    1.051e-05  8.061e-06  1.051e-05
  1.000  2.000	   7.953e-06    1.029e-05  7.953e-06  1.029e-05
  2.000  2.000	   7.860e-06    1.009e-05  7.860e-06  1.009e-05
==> ../CT10/000/ci3250.txt
    mur    muf	 LO xsec(pb) NLO xsec(pb)         LO        NLO
  0.500  0.500	   8.638e-08    7.886e-08  8.638e-08  7.886e-08
  1.000  0.500	   8.562e-08    7.926e-08  8.562e-08  7.926e-08
  2.000  0.500	   8.497e-08    7.952e-08  8.497e-08  7.952e-08
  0.500  1.000	   6.463e-08    7.780e-08  6.463e-08  7.780e-08
  1.000  1.000	   6.406e-08    7.673e-08  6.406e-08  7.673e-08
  2.000  1.000	   6.357e-08    7.572e-08  6.357e-08  7.572e-08
  0.500  2.000	   4.931e-08    7.375e-08  4.931e-08  7.375e-08
  1.000  2.000	   4.888e-08    7.182e-08  4.888e-08  7.182e-08
  2.000  2.000	   4.851e-08    7.014e-08  4.851e-08  7.014e-08
