 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.63924165449E+07    2.08846316967E+07
  21.00   24.00    8.72526337618E+06    1.09887084717E+07
  24.00   28.00    4.61672446436E+06    5.88684167778E+06
  28.00   32.00    2.40751959743E+06    3.12000902881E+06
  32.00   37.00    1.27817648920E+06    1.66845625194E+06
  37.00   43.00    6.45821529720E+05    8.54434188373E+05
  43.00   49.00    3.32793456691E+05    4.40641808502E+05
  49.00   56.00    1.77426255284E+05    2.37405194902E+05
  56.00   64.00    9.30413219350E+04    1.25791202098E+05
  64.00   74.00    4.70713939293E+04    6.37171244135E+04
  74.00   84.00    2.38784719202E+04    3.25006963880E+04
  84.00   97.00    1.21037826028E+04    1.66078106713E+04
  97.00   114.0    5.55731410242E+03    7.66128798447E+03
  114.0   133.0    2.43696060100E+03    3.37997015293E+03
  133.0   153.0    1.11123267575E+03    1.55219944241E+03
  153.0   174.0    5.36434367864E+02    7.52061051822E+02
  174.0   196.0    2.71391427988E+02    3.82644144743E+02
  196.0   220.0    1.41136371440E+02    1.99876450955E+02
  220.0   245.0    7.49652715456E+01    1.06628239929E+02
  245.0   272.0    4.06747753638E+01    5.81170202083E+01
  272.0   300.0    2.24656578776E+01    3.22021514791E+01
  300.0   330.0    1.26490380277E+01    1.81779948132E+01
  330.0   362.0    7.18030825558E+00    1.03675028320E+01
  362.0   395.0    4.13938675604E+00    5.99977042016E+00
  395.0   430.0    2.42367695684E+00    3.52553874147E+00
  430.0   468.0    1.41657559335E+00    2.06798975218E+00
  468.0   507.0    8.32066393051E-01    1.21989217052E+00
  507.0   548.0    4.95710834544E-01    7.30409074244E-01
  548.0   592.0    2.95425246938E-01    4.36708488606E-01
  592.0   638.0    1.75859946099E-01    2.61158817770E-01
  638.0   686.0    1.05210062118E-01    1.56840475441E-01
  686.0   737.0    6.29625805485E-02    9.44022305921E-02
  737.0   790.0    3.76113083064E-02    5.65954671272E-02
  790.0   846.0    2.24586091470E-02    3.39873576535E-02
  846.0   905.0    1.33297935514E-02    2.02747459047E-02
  905.0   967.0    7.85775328780E-03    1.20235203841E-02
  967.0   1032.    4.60299752735E-03    7.08202105657E-03
  1032.   1101.    2.66566603744E-03    4.12875579787E-03
  1101.   1172.    1.52986557200E-03    2.38497543642E-03
  1172.   1248.    8.67833407870E-04    1.36161637830E-03
  1248.   1327.    4.82805159332E-04    7.63329831718E-04
  1327.   1410.    2.64524969593E-04    4.21514893062E-04
  1410.   1497.    1.41846823129E-04    2.28086354222E-04
  1497.   1588.    7.42840870730E-05    1.20398701540E-04
  1588.   1784.    2.79567541847E-05    4.58857923782E-05
  1784.   2116.    4.68051592629E-06    7.86512533800E-06
  2116.   2500.    3.20312539163E-07    5.58812390193E-07
  2500.   3000.    8.88081697719E-09    1.62611343276E-08
