 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.39087974284E+07    2.01558068191E+07
  21.00   24.00    7.81221654070E+06    1.07736700850E+07
  24.00   28.00    4.34340231341E+06    5.87865023498E+06
  28.00   32.00    2.37174205739E+06    3.15891168219E+06
  32.00   37.00    1.31008087679E+06    1.70908306468E+06
  37.00   43.00    6.88877275080E+05    8.87116774307E+05
  43.00   49.00    3.68024426354E+05    4.61916274167E+05
  49.00   56.00    2.02442004778E+05    2.51429264425E+05
  56.00   64.00    1.09446326084E+05    1.34798242207E+05
  64.00   74.00    5.70001657875E+04    6.87991645651E+04
  74.00   84.00    2.96919115856E+04    3.53765463532E+04
  84.00   97.00    1.54091983290E+04    1.82195790494E+04
  97.00   114.0    7.24426380584E+03    8.45587512476E+03
  114.0   133.0    3.24899583468E+03    3.75229742665E+03
  133.0   153.0    1.51051558710E+03    1.73302018925E+03
  153.0   174.0    7.40402381509E+02    8.42127862792E+02
  174.0   196.0    3.79183259992E+02    4.29547762700E+02
  196.0   220.0    1.99038466404E+02    2.24542627008E+02
  220.0   245.0    1.06546946366E+02    1.19838162007E+02
  245.0   272.0    5.82194186378E+01    6.53764679662E+01
  272.0   300.0    3.23487870149E+01    3.62170393090E+01
  300.0   330.0    1.83277519693E+01    2.04592814485E+01
  330.0   362.0    1.04593084024E+01    1.16809486837E+01
  362.0   395.0    6.05506202902E+00    6.76010151410E+00
  395.0   430.0    3.55739417976E+00    3.97046367469E+00
  430.0   468.0    2.08633090106E+00    2.32902900783E+00
  468.0   507.0    1.23033494600E+00    1.37555708862E+00
  507.0   548.0    7.36896635636E-01    8.26023400863E-01
  548.0   592.0    4.41142085673E-01    4.94567213794E-01
  592.0   638.0    2.63890082561E-01    2.96444127414E-01
  638.0   686.0    1.58662061494E-01    1.78432040851E-01
  686.0   737.0    9.53781796682E-02    1.07691487199E-01
  737.0   790.0    5.72959516997E-02    6.47593099555E-02
  790.0   846.0    3.43805298289E-02    3.90068560155E-02
  846.0   905.0    2.04959337848E-02    2.33197645782E-02
  905.0   967.0    1.21373717157E-02    1.38691056366E-02
  967.0   1032.    7.13422786347E-03    8.18134862179E-03
  1032.   1101.    4.14469749796E-03    4.77808553366E-03
  1101.   1172.    2.38388951511E-03    2.76127508818E-03
  1172.   1248.    1.35429561892E-03    1.57628591135E-03
  1248.   1327.    7.54037094441E-04    8.83084087203E-04
  1327.   1410.    4.13240147066E-04    4.87100660769E-04
  1410.   1497.    2.21543690763E-04    2.63220854113E-04
  1497.   1588.    1.15974759674E-04    1.38639658112E-04
  1588.   1784.    4.36496448366E-05    5.27269230700E-05
  1784.   2116.    7.33163961688E-06    9.03192591573E-06
  2116.   2500.    5.10297296144E-07    6.48187379890E-07
  2500.   3000.    1.45307928226E-08    1.92892016878E-08
