 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.37089737674E+07    1.92963273633E+07
  21.00   24.00    7.49512679229E+06    1.02834521836E+07
  24.00   28.00    4.06943415616E+06    5.57747313871E+06
  28.00   32.00    2.17325666733E+06    2.98427877451E+06
  32.00   37.00    1.17760095516E+06    1.60967801338E+06
  37.00   43.00    6.07731214443E+05    8.32204206439E+05
  43.00   49.00    3.19318201539E+05    4.33039956134E+05
  49.00   56.00    1.73176069172E+05    2.35157285767E+05
  56.00   64.00    9.23885376928E+04    1.25722259080E+05
  64.00   74.00    4.75075481754E+04    6.41801488889E+04
  74.00   84.00    2.44601104525E+04    3.29691469429E+04
  84.00   97.00    1.25624966611E+04    1.69529364057E+04
  97.00   114.0    5.84290246251E+03    7.86453488901E+03
  114.0   133.0    2.59390376118E+03    3.48772451830E+03
  133.0   153.0    1.19561112840E+03    1.60917423588E+03
  153.0   174.0    5.81829173723E+02    7.81768565207E+02
  174.0   196.0    2.96084539832E+02    3.98263579916E+02
  196.0   220.0    1.54496294118E+02    2.07897345500E+02
  220.0   245.0    8.22651497983E+01    1.10791280565E+02
  245.0   272.0    4.47448397084E+01    6.03490859490E+01
  272.0   300.0    2.47568297442E+01    3.33963496047E+01
  300.0   330.0    1.39762822737E+01    1.88507448014E+01
  330.0   362.0    7.95239498023E+00    1.07498648111E+01
  362.0   395.0    4.59256800972E+00    6.21725271354E+00
  395.0   430.0    2.69293514751E+00    3.65052361664E+00
  430.0   468.0    1.57636764695E+00    2.14021415020E+00
  468.0   507.0    9.27800120095E-01    1.26275823480E+00
  507.0   548.0    5.54749575589E-01    7.57575003637E-01
  548.0   592.0    3.31524308233E-01    4.53397307874E-01
  592.0   638.0    1.97962330011E-01    2.71525826115E-01
  638.0   686.0    1.18804727393E-01    1.63310053037E-01
  686.0   737.0    7.12802687792E-02    9.84087574956E-02
  737.0   790.0    4.27354369775E-02    5.91273997474E-02
  790.0   846.0    2.55911967249E-02    3.55618278437E-02
  846.0   905.0    1.52236118591E-02    2.12323113532E-02
  905.0   967.0    8.99543213758E-03    1.26055462121E-02
  967.0   1032.    5.27539832746E-03    7.42380422491E-03
  1032.   1101.    3.05763450176E-03    4.32657733875E-03
  1101.   1172.    1.75447529037E-03    2.49544389546E-03
  1172.   1248.    9.94308557457E-04    1.42155006327E-03
  1248.   1327.    5.52227472247E-04    7.94503066661E-04
  1327.   1410.    3.01876764899E-04    4.37129546055E-04
  1410.   1497.    1.61417930133E-04    2.35535070982E-04
  1497.   1588.    8.42715718564E-05    1.23736218403E-04
  1588.   1784.    3.15935364022E-05    4.68653501219E-05
  1784.   2116.    5.26669521126E-06    7.96443619399E-06
  2116.   2500.    3.61365225368E-07    5.63951150285E-07
  2500.   3000.    1.00464766417E-08    1.64302078214E-08
