 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.46977487855E+07    2.07208292424E+07
  21.00   24.00    7.95825049120E+06    1.09388618644E+07
  24.00   28.00    4.27995245009E+06    5.87519841679E+06
  28.00   32.00    2.26253403368E+06    3.11260807083E+06
  32.00   37.00    1.21364617068E+06    1.66203011237E+06
  37.00   43.00    6.19670398078E+05    8.50050127291E+05
  43.00   49.00    3.22272467729E+05    4.37888936626E+05
  49.00   56.00    1.73139494574E+05    2.35541532569E+05
  56.00   64.00    9.15130511229E+04    1.24750061769E+05
  64.00   74.00    4.66174413022E+04    6.30841695012E+04
  74.00   84.00    2.37900826421E+04    3.21150661654E+04
  84.00   97.00    1.21222328920E+04    1.63826353836E+04
  97.00   114.0    5.59512309506E+03    7.54078717057E+03
  114.0   133.0    2.46839475810E+03    3.32265970192E+03
  133.0   153.0    1.13335370012E+03    1.52677619309E+03
  153.0   174.0    5.50133446489E+02    7.39737942450E+02
  174.0   196.0    2.79603773669E+02    3.76318560021E+02
  196.0   220.0    1.45957908502E+02    1.96497690020E+02
  220.0   245.0    7.78248028901E+01    1.04848018216E+02
  245.0   272.0    4.24408205191E+01    5.72537392837E+01
  272.0   300.0    2.35668781962E+01    3.17948870934E+01
  300.0   330.0    1.33348363696E+01    1.79863828353E+01
  330.0   362.0    7.60047947001E+00    1.02743089767E+01
  362.0   395.0    4.39738961016E+00    5.95292698438E+00
  395.0   430.0    2.58363414912E+00    3.50221158162E+00
  430.0   468.0    1.51706101796E+00    2.05959897188E+00
  468.0   507.0    8.95554144456E-01    1.21884062745E+00
  507.0   548.0    5.35796708535E-01    7.31674656443E-01
  548.0   592.0    3.20475954002E-01    4.38257288845E-01
  592.0   638.0    1.91527112955E-01    2.62678641318E-01
  638.0   686.0    1.15065873119E-01    1.58158583270E-01
  686.0   737.0    6.91281442615E-02    9.54315520714E-02
  737.0   790.0    4.14733362781E-02    5.73745637741E-02
  790.0   846.0    2.48583386636E-02    3.45359900304E-02
  846.0   905.0    1.48079709991E-02    2.06464256442E-02
  905.0   967.0    8.76524719433E-03    1.22780035899E-02
  967.0   1032.    5.15463915157E-03    7.24983883701E-03
  1032.   1101.    2.99718941927E-03    4.23804428846E-03
  1101.   1172.    1.72619157412E-03    2.45310290464E-03
  1172.   1248.    9.82483790886E-04    1.40313663283E-03
  1248.   1327.    5.48363413278E-04    7.87978913349E-04
  1327.   1410.    3.01628848101E-04    4.36145927527E-04
  1410.   1497.    1.62369698521E-04    2.36536561089E-04
  1497.   1588.    8.54710159063E-05    1.25248497289E-04
  1588.   1784.    3.24602364718E-05    4.80300355015E-05
  1784.   2116.    5.57339180023E-06    8.39295657383E-06
  2116.   2500.    4.14023725389E-07    6.39627302495E-07
  2500.   3000.    1.40608749216E-08    2.24094761268E-08
