 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.82201527760E+07    2.19430971508E+07
  21.00   24.00    9.79315772713E+06    1.14601525926E+07
  24.00   28.00    5.23530268903E+06    6.14346931922E+06
  28.00   32.00    2.75405319345E+06    3.25505982033E+06
  32.00   37.00    1.47195984075E+06    1.73631217769E+06
  37.00   43.00    7.49431184607E+05    8.89516942365E+05
  43.00   49.00    3.89033220446E+05    4.57748232290E+05
  49.00   56.00    2.08788545320E+05    2.46875042444E+05
  56.00   64.00    1.10301879914E+05    1.31188446324E+05
  64.00   74.00    5.61867670536E+04    6.64105750303E+04
  74.00   84.00    2.86832196291E+04    3.39034868744E+04
  84.00   97.00    1.46235424574E+04    1.73591822092E+04
  97.00   114.0    6.75404856830E+03    8.01482218452E+03
  114.0   133.0    2.98140471387E+03    3.54361129003E+03
  133.0   153.0    1.36927166099E+03    1.63367834696E+03
  153.0   174.0    6.64567055199E+02    7.93043281383E+02
  174.0   196.0    3.37585560858E+02    4.04200285999E+02
  196.0   220.0    1.76062819916E+02    2.11291602981E+02
  220.0   245.0    9.37557769104E+01    1.12821772565E+02
  245.0   272.0    5.10462833943E+01    6.16303220258E+01
  272.0   300.0    2.82909817654E+01    3.42133184067E+01
  300.0   330.0    1.59736337680E+01    1.93399349993E+01
  330.0   362.0    9.08385326242E+00    1.10423741760E+01
  362.0   395.0    5.24317745531E+00    6.39258759684E+00
  395.0   430.0    3.07310462116E+00    3.75712560527E+00
  430.0   468.0    1.79994787189E+00    2.20714214200E+00
  468.0   507.0    1.05992538659E+00    1.30495566724E+00
  507.0   548.0    6.32657731852E-01    7.82829606854E-01
  548.0   592.0    3.77571029976E-01    4.68436167484E-01
  592.0   638.0    2.25160422457E-01    2.80573171839E-01
  638.0   686.0    1.35008474949E-01    1.68822899508E-01
  686.0   737.0    8.09687543952E-02    1.01860966165E-01
  737.0   790.0    4.85095028618E-02    6.12288824549E-02
  790.0   846.0    2.90481514508E-02    3.68793342873E-02
  846.0   905.0    1.72900229059E-02    2.20609258224E-02
  905.0   967.0    1.02257768398E-02    1.31291007360E-02
  967.0   1032.    6.00618569510E-03    7.75462823939E-03
  1032.   1101.    3.48752847983E-03    4.53470873829E-03
  1101.   1172.    2.00523297872E-03    2.62479221370E-03
  1172.   1248.    1.13898132559E-03    1.50074017678E-03
  1248.   1327.    6.34281002551E-04    8.42444562525E-04
  1327.   1410.    3.47850690167E-04    4.65682508874E-04
  1410.   1497.    1.86474562104E-04    2.51980424428E-04
  1497.   1588.    9.75137337630E-05    1.32777308986E-04
  1588.   1784.    3.66209892278E-05    5.04735724745E-05
  1784.   2116.    6.16509231396E-06    8.67756864260E-06
  2116.   2500.    4.44247939282E-07    6.44037372901E-07
  2500.   3000.    1.50261055068E-08    2.25057474954E-08
